audio	sentence
01-200921-192247_bem_d31_elicit_16.wav	cisuma ukwibukisho kuti iciputulwa icikalamba ica cipingo ca kale calembelwe pakuti tusambilile fyo lesa abomfeshe abantu ababa pamo nga iwe naine
03-200921-160552_bem_798_elicit_2.wav	umutitikisha wamu ndupwa namu mayanda milandu yabumpula mafunde
01-201002-002057_bem_fb0_elicit_31.wav	kwena umutima tawakalipishe atile ndeisaisanga nga nainuka ubushiku bwa lelo nakulaipusha inkoloko  ku musungu wandi na banandi
01-180101-223427_bem_d31_elicit_25.wav	camulengele ukwenda ubulendo ubwayafya kabili ubwakutompola ukufuma pa kamushi aka mu mawanga akali pakati kakapinda ka kukulyo elyo na kabanga mu india ukuya ku wheaton illinoise
01-200930-150533_bem_fb0_elicit_1.wav	joni nao ati nga iwe amaka ukwete ayakunjipushusha ifyo wayafumya kwi
01-201012-184652_bem_fb0_elicit_13.wav	pantu tulapisha ubwali bwinobwino
01-201012-184652_bem_fb0_elicit_34.wav	ico mwine mushi abikila iliba pakati pantu cimoneka ukuti e cibinda wa mubansa abanankwe teti bafulwe
03-201004-122608_bem_798_elicit_27.wav	ino nshita mwansa fyela tepakuliila na ba cilolo bene abo baya nabo ukulundapo ne fita fine amakumi yabili mwandi tepakuliila
03-200916-015847_bem_798_elicit_8.wav	ilelo imishi yabo ne calo cesu ca congo ngatabafibombeele ngefyo balecita pabushiku bwelelo
04-201009-122744_bem_40e_elicit_18.wav	uwakulalya katapa no bowa alefwa nafyo mu kanwa
03-201004-103454_bem_798_elicit_2.wav	limolimo kuti bayamukakila apafyalile ng'wena pakuti ise imulye
05-200916-131248_bem_a40_elicit_2.wav	bakasenda ifyakufwala
01-200922-104230_bem_d31_elicit_3.wav	ba levy chibu kasoma balolekeshe panshila yakubombelamo ubusambi elyo bamunyina ba stephen kaunda balolekeshe pamulandu wakusakamana umulimo twapelwa uwa kulenga abasambi
05-200916-113409_bem_a40_elicit_5.wav	kuti nawilamo
01-200922-010446_bem_d31_elicit_9.wav	ukumana akapi ba bible society ne filonganino filanda cibemba mu zambia
04-200917-143010_bem_346_elicit_48.wav	casuminisihsa ukuti bomfwane umo naumo
05-200916-173030_bem_a40_elicit_7.wav	ndefwaya ukushita ifinanashi
03-200925-053533_bem_798_elicit_19.wav	tulingile ukwipusha amepusho pakuti twingeshiba ngacakuti uyo muntu alishiba imbila nsuma
04-200914-220511_bem_346_elicit_1.wav	kuti walanda mu cisoli nangu mu cinyanja
01-180102-181703_bem_d31_elicit_46.wav	elyo kabili batila ukuti pa myaka iyafuma itatu
03-200916-125910_bem_798_elicit_22.wav	niwe cimpusa icishingile abalenya
05-200916-155836_bem_a40_elicit_22.wav	tabamonana na kapokola
01-201001-201528_bem_fb0_elicit_12.wav	mune nomba apo waupwa nausanguka umukalamba nshilingile na kukwita ishina lyobe pantu nomba niwe mrs bowa
01-180101-020958_bem_d31_elicit_15.wav	na ine
01-200922-090011_bem_d31_elicit_48.wav	umulandu uukulu twalelolekeshapo uno mwaka kulenga abasambi
05-200916-143600_bem_a40_elicit_22.wav	ndifye bwino nga imwe
01-200930-150533_bem_fb0_elicit_46.wav	joni lelo wati efyo nseka nifyo cinecine ndesoselela njasuka
01-201012-193916_bem_fb0_elicit_33.wav	abaice bamo tabafwaya kubatuma fye ukwabula amalipilo
04-201008-151412_bem_40e_elicit_18.wav	nalimo kuti nacimfya abalwani bandi
01-201012-192322_bem_fb0_elicit_38.wav	wishi nshi tata shibwalya
01-200922-100107_bem_d31_elicit_21.wav	imfumu yesu yesu ali uwaibela
01-200930-150533_bem_fb0_elicit_47.wav	janet ine ne mwine nasumina nomba nshishibe ba tata na ba mayo ku lusaka ifyo bakayasosa
01-201012-193916_bem_fb0_elicit_24.wav	lubali na mu kwipika mwine cimo cine abafyashi balatuma abaice ukuyaleta utubende no kutongola intwilo no kucemeka ifishikisa
05-200916-155836_bem_a40_elicit_20.wav	tamutemwana ne nama
05-200916-122525_bem_a40_elicit_40.wav	bushe mwalitemwa ukulya umusalu
03-200925-003120_bem_798_elicit_35.wav	elyo nabo bakapeela fye umulandu nifwe
04-201008-151412_bem_40e_elicit_12.wav	ilyashi lilya lyasuka lyafika na ku matwi ya mfumu lubemba
03-201007-002328_bem_798_elicit_23.wav	alabalondolwela nelyo amwene nokuti ba mangala bali panuma kanofye ukwendesha
01-201005-212422_bem_fb0_elicit_26.wav	leio tababikilemo ifumo bonse balikene ukuti bapele ifumo pantu ifyela fyaliafishe pa nshita ilya
03-200916-040939_bem_798_elicit_34.wav	ilishiwi lya mwaice lileibukisha umufyashi ukuti ubufi tabwawama ku muntu onse ku mwaice nangu ku mukulu
03-200916-141341_bem_798_elicit_25.wav	ukupesha lunshi kunya patatu
01-201001-203149_bem_fb0_elicit_31.wav	ubushiku bushilile kantu joni na janet nabekala mu nganda balelya ubwali
