audio	sentence
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/03-200921-154823_bem_798_elicit_35.wav	mwalibako utubungwe utwalekenalekana mu calo ca australia utwingamyafwilisha
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/03-201004-001734_bem_798_elicit_14.wav	ne wena shabwela shapishapo no mukulwa
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/03-200925-053533_bem_798_elicit_22.wav	ngacakutila panuma yakulanshanya tatushininkishe
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/03-201006-011410_bem_798_elicit_34.wav	munda alekumbwa saana ukwipusha uko calolele nomba ici ashaishibe cilimi camupelenganya
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/03-200924-222234_bem_798_elicit_4.wav	apo isenge lyalola mukushintilila pali umo no munakwe mukwikatana kuli kristu no kuibimbamo no mweo umo wine uwakwa kristu
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/03-200924-204525_bem_798_elicit_27.wav	umusango wa kutemwa uko lesa atemwa abantu ukwakuti aipeelesha ukubasakamana
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/03-200923-230549_bem_798_elicit_28.wav	tawakashipikishe nakalya
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/03-200924-181036_bem_798_elicit_39.wav	shilalanda nobututulume pa nshila shonse isha kucimfishamo lelo tashilakwatapo ne fibala ifyakufuma nangu ifilelangisha ukuti nishikacimfya
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/03-200921-162447_bem_798_elicit_30.wav	ukupatikisha umuntu ukuti asumine kuntambi shimo isha mipangile ya cupo
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/03-201001-100406_bem_798_elicit_39.wav	bonse pamushi pacaani taba ishibe insala emukutila lyonse baleeba abaikuta mulusuba namainsa kumo
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/03-200924-200908_bem_798_elicit_0.wav	ecalenga abutukile ku ncende ya bulwi kukukumanya galyati
