audio	sentence
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-200914-202459_bem_d31_elicit_17.wav	wemunandi pano ulembona ninkwata inkongole kuli katumbi
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-201002-011519_bem_fb0_elicit_40.wav	inshiku shakonkapo joni alemoneka bulandabulanda asansamwikeko fye ubushiku apokelele kalata ukufuma ku chinsali
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-200918-090125_bem_d31_elicit_12.wav	te bantu abengi balemoneka ukukwata ubwafya pali ici
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-201006-090721_bem_fb0_elicit_13.wav	pa lubelebele pa luncecesa
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-200930-133148_bem_fb0_elicit_36.wav	limbi nkabasoselela kuli dona akese bafulula
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-201005-232741_bem_fb0_elicit_9.wav	abantu cabapesha amano kuti abati tufulumuke ala mukwai te kuibepesha fye
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/05-200917-093325_bem_a40_elicit_41.wav	we linso lya mukashi pona amasuku pona nkutole
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-180101-023953_bem_d31_elicit_19.wav	efyo na bamo baba mu filonganino na mu kulongana kwesu bantu ba bulwi
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-201012-192322_bem_fb0_elicit_10.wav	nga akapala kuli wishi atemwa kuli nyina mu mibombele mu misosele na mu mikalile
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/05-200917-113913_bem_a40_elicit_2.wav	umulumendoumo abulileindalama no kumupela  ten paunshi
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-200922-093621_bem_d31_elicit_11.wav	yohane acilingenye ati ine alinjebele ukuti alipepelepo kuli lesa
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/05-200916-194744_bem_a40_elicit_26.wav	inkombe taikata pachinena
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-201012-190124_bem_fb0_elicit_21.wav	na yakuti yaleshala fye na masako yekayeka akoni akene nakaya
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-200918-075458_bem_d31_elicit_18.wav	pakupakamisha icishinka cakuti fyafuma kuli lesa kabili fyakwa lesa
