audio	sentence
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/03-200921-154823_bem_798_elicit_35.wav	mwalibako utubungwe utwalekenalekana mu calo ca australia utwingamyafwilisha
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-200914-202459_bem_d31_elicit_17.wav	wemunandi pano ulembona ninkwata inkongole kuli katumbi
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-201002-011519_bem_fb0_elicit_40.wav	inshiku shakonkapo joni alemoneka bulandabulanda asansamwikeko fye ubushiku apokelele kalata ukufuma ku chinsali
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-200918-090125_bem_d31_elicit_12.wav	te bantu abengi balemoneka ukukwata ubwafya pali ici
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-201006-090721_bem_fb0_elicit_13.wav	pa lubelebele pa luncecesa
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/03-201004-001734_bem_798_elicit_14.wav	ne wena shabwela shapishapo no mukulwa
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-200930-133148_bem_fb0_elicit_36.wav	limbi nkabasoselela kuli dona akese bafulula
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-201005-232741_bem_fb0_elicit_9.wav	abantu cabapesha amano kuti abati tufulumuke ala mukwai te kuibepesha fye
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/05-200917-093325_bem_a40_elicit_41.wav	we linso lya mukashi pona amasuku pona nkutole
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-180101-023953_bem_d31_elicit_19.wav	efyo na bamo baba mu filonganino na mu kulongana kwesu bantu ba bulwi
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-201012-192322_bem_fb0_elicit_10.wav	nga akapala kuli wishi atemwa kuli nyina mu mibombele mu misosele na mu mikalile
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/05-200917-113913_bem_a40_elicit_2.wav	umulumendoumo abulileindalama no kumupela  ten paunshi
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/03-200925-053533_bem_798_elicit_22.wav	ngacakutila panuma yakulanshanya tatushininkishe
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-200922-093621_bem_d31_elicit_11.wav	yohane acilingenye ati ine alinjebele ukuti alipepelepo kuli lesa
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/03-201006-011410_bem_798_elicit_34.wav	munda alekumbwa saana ukwipusha uko calolele nomba ici ashaishibe cilimi camupelenganya
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/05-200916-194744_bem_a40_elicit_26.wav	inkombe taikata pachinena
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-201012-190124_bem_fb0_elicit_21.wav	na yakuti yaleshala fye na masako yekayeka akoni akene nakaya
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-200918-075458_bem_d31_elicit_18.wav	pakupakamisha icishinka cakuti fyafuma kuli lesa kabili fyakwa lesa
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/03-200924-222234_bem_798_elicit_4.wav	apo isenge lyalola mukushintilila pali umo no munakwe mukwikatana kuli kristu no kuibimbamo no mweo umo wine uwakwa kristu
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-201006-110929_bem_fb0_elicit_1.wav	lesa mukulu ilyo apwile ukubumba ifyuni fyonse ifya pano isonde afipele ubusuma cimocimo ukulingana nomo aishibile umwine
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/03-200924-204525_bem_798_elicit_27.wav	umusango wa kutemwa uko lesa atemwa abantu ukwakuti aipeelesha ukubasakamana
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-201006-112930_bem_fb0_elicit_4.wav	bampatila pa busuma ubu mwampela ubusuma ubu bwalibatkama
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-200914-214639_bem_d31_elicit_44.wav	moneni nga twafika apakwikila munjebe
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-200917-185936_bem_d31_elicit_35.wav	lelo kuli lesa te ifyo
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-200930-150533_bem_fb0_elicit_52.wav	janet atile ashilembela abafyashi bakwe ku lusaka papita fye isha kupenda bayasuka no kusumina basumina
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-201004-205737_bem_fb0_elicit_8.wav	cikesenwa kuno mitanda
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-200917-231428_bem_d31_elicit_6.wav	imbila nsuma no muntu uwacilamo yesu kristu umwana wakwa lesa
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/09-200916-052004_bem_a40_elicit_21.wav	pali kano kashita ndefwaya munjebeko ubwafya mwakwata muno mushi
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/03-200923-230549_bem_798_elicit_28.wav	tawakashipikishe nakalya
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/05-200916-171339_bem_a40_elicit_0.wav	bikeni amenshi mu cishiba cenu
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-200929-215409_bem_fb0_elicit_32.wav	joni oh pa mr thorncroft nalipeshiuba sana mpitapo fye pee kasha epo mwikala
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/03-200924-181036_bem_798_elicit_39.wav	shilalanda nobututulume pa nshila shonse isha kucimfishamo lelo tashilakwatapo ne fibala ifyakufuma nangu ifilelangisha ukuti nishikacimfya
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-180101-140752_bem_d31_elicit_35.wav	nshilefifwaya ifyo ifinu ulendapo
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/03-200921-162447_bem_798_elicit_30.wav	ukupatikisha umuntu ukuti asumine kuntambi shimo isha mipangile ya cupo
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-180101-060018_bem_d31_elicit_47.wav	nangula ukutendeka kwa filonganino fya christian brethren mu zambia kuli ne myaka ukucila na pa mwanda umo
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/05-200917-085055_bem_a40_elicit_62.wav	umuntu ulya ebele endi mukwai
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-180101-031630_bem_d31_elicit_21.wav	pakati ka bena kristu nelyo inkuta palasangwa ukutalikana ukupusana ukukansana ubufi ilyashi libi akalumwa pamo no bubifi bumbi ubwingi
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/03-201001-100406_bem_798_elicit_39.wav	bonse pamushi pacaani taba ishibe insala emukutila lyonse baleeba abaikuta mulusuba namainsa kumo
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-200917-234543_bem_d31_elicit_35.wav	intungulushi shesu mu bwina kristu nasho shilafwilisha pakusokololo bwite bwakwa lesa
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/05-200916-202426_bem_a40_elicit_42.wav	ishuko lya mubiyo tekwesha ukuyashimika pantu bambi kuti bamupatilapo
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/01-200914-200932_bem_d31_elicit_47.wav	ine uku kwata ingulu katumbi
/home/skscla001/experiments/hf/speech/data/BembaSpeech/bem/audio/03-200924-200908_bem_798_elicit_0.wav	ecalenga abutukile ku ncende ya bulwi kukukumanya galyati
