audio,duration,sentence,was Ok?,status
09-200916-052004_bem_a40_elicit_0.wav,4.0610625,nde fwaya uku samba cino icungulo,TRUE,
09-200916-052004_bem_a40_elicit_2.wav,4.038375,nde fwaya ukuafwa ukulima ukusambilisha pali zambia,TRUE,
09-200916-052004_bem_a40_elicit_3.wav,2.404875,shinga ubwali na inkoko,TRUE,
09-200916-052004_bem_a40_elicit_4.wav,3.35775,mailo akasuba nka afwa ukusalula imbalala,TRUE,
09-200916-052004_bem_a40_elicit_5.wav,4.0156875,nde umfwa sana utulo nka samba mailo ulucelo,TRUE,
09-200916-052004_bem_a40_elicit_6.wav,2.26875,bushe ba mayo na besa,FALSE,Verified
09-200916-052004_bem_a40_elicit_7.wav,2.0191875,mutale naumfwa insala,TRUE,
09-200916-052004_bem_a40_elicit_8.wav,2.132625,pali bana mulenga baliteka imbwa,TRUE,
09-200916-052004_bem_a40_elicit_10.wav,1.7015625,ni shinga muleshitisha inkoko,TRUE,
09-200916-052004_bem_a40_elicit_11.wav,2.08725,ba kateka baku calo caku rwanda,TRUE,
09-200916-052004_bem_a40_elicit_12.wav,2.0645625,nde umfwa utulo,TRUE,
09-200916-052004_bem_a40_elicit_13.wav,1.406625,na umfwa nsala,TRUE,
09-200916-052004_bem_a40_elicit_14.wav,2.2914375,nala umfwa insansa,TRUE,
09-200916-052004_bem_a40_elicit_15.wav,3.584625,ba mayo naba taata ba munyinane bonse mwaiseni mukwai,TRUE,
09-200916-052004_bem_a40_elicit_16.wav,3.8115,ishina lyandi nine clayton mwina america,TRUE,
09-200916-052004_bem_a40_elicit_17.wav,5.17275,ndi kaipela mu mubili wa cibote,TRUE,
09-200916-052004_bem_a40_elicit_18.wav,3.403125,naisa muno mushi pa kuti imwe na ine twikatane,TRUE,
09-200916-052004_bem_a40_elicit_19.wav,6.1936875,tubombele pamo muli fyonse ifingatwafwilishako ukuba abomi,TRUE,
09-200916-052004_bem_a40_elicit_20.wav,9.301875,ifili nga amenshi ifimbusu ifishima imisungile ya mimana na fimbi ifyashala,TRUE,
09-200916-052004_bem_a40_elicit_21.wav,5.8760625,pali kano kashita ndefwaya munjebeko ubwafya mwakwata muno mushi,TRUE,
09-200916-052004_bem_a40_elicit_22.wav,3.0174375,elyo bonse pamo tumone ifyo twingacita,TRUE,
09-200916-052004_bem_a40_elicit_23.wav,2.1099375,natotela mukwai,TRUE,
09-200916-052004_bem_a40_elicit_25.wav,1.951125,cinshi akonkele lelo,TRUE,
09-200916-052004_bem_a40_elicit_26.wav,5.808,ine ndi mwina amerika ndi kaipela mu mubili wa cibote,TRUE,
09-200916-052004_bem_a40_elicit_27.wav,2.6090625,nali ku kabwe uko nasambilile icibemba,TRUE,
09-200916-052004_bem_a40_elicit_28.wav,3.90225,uyuni mwape mwina zambia aba mu mansa,TRUE,
09-200916-052004_bem_a40_elicit_29.wav,2.9266875,ni shing'anga mukalamba mu cipatala ca mu mansa,TRUE,
09-200916-052004_bem_a40_elicit_30.wav,2.7905625,abalumendo na bakashana mwaiseni kuno,TRUE,
09-200916-052004_bem_a40_elicit_31.wav,3.267,ni ani aletekesha ici cine icilonganino,TRUE,
09-200916-052004_bem_a40_elicit_32.wav,3.312375,cumfwikile ati kwalaisa umwina amerika,TRUE,
09-200916-052004_bem_a40_elicit_33.wav,2.858625,kanshi natuipekanye limbi alaisa nomba line,TRUE,
09-200916-052004_bem_a40_elicit_34.wav,7.214625,kaipela mu mubili wa cibote akesa mifunda ifya kukula,TRUE,
09-200916-052004_bem_a40_elicit_35.wav,8.0086875,bamayo na bataata na bamunyinane leelo ndi muno mushi pa kuti munjebe ubwafya mwakwata,TRUE,
09-200916-052004_bem_a40_elicit_36.wav,5.808,cikankala sana ukukwata ifimbusu ifyalondoloka pantu filatucingilila ku malwele,TRUE,
09-200916-052004_bem_a40_elicit_38.wav,3.6526875,ifimbusu fyaba ifya pusana pusana,TRUE,
09-200916-052004_bem_a40_elicit_39.wav,6.034875,kwaba ifya kwikalapo elyo nefya kusunsumanapo,TRUE,
09-200916-052004_bem_a40_elicit_40.wav,11.5933125,muno samfya ifimbusu finga linga fya kusunsumanapo,TRUE,
09-200916-052004_bem_a40_elicit_41.wav,8.2809375,paku kuula icimbusu ca musango uyu mufwile ukusala incende italwikeko ne cishima ca menshi,TRUE,
09-200916-052004_bem_a40_elicit_42.wav,4.7430625,kabili icimbusucifwile ukubela munshi elyo icishima lwa pa mulu,TRUE,
09-200916-052004_bem_a40_elicit_43.wav,10.209375,pakuti nangu mulamba alepongoloka aleya ku cimbusu,TRUE,
09-200916-052004_bem_a40_elicit_44.wav,3.6526875,nga mwakwata icimbusu amalwele ya mu mensi yalecepako pantu ninshi mwakwata umwakusungila ubusali bwenu,TRUE,
09-200916-052004_bem_a40_elicit_45.wav,5.990875,cinshi cabela icikankala ukukwata icimbusu,TRUE,
09-200916-052004_bem_a40_elicit_46.wav,3.2443125,bushe icimbusu cifwile ukubela ku mulu wa cishima,TRUE,
09-200916-052004_bem_a40_elicit_47.wav,3.766125,ufwile ukubomfya icimbusu lyonse,TRUE,
09-200916-052004_bem_a40_elicit_48.wav,19.738125,ulingile ukusama iminwe lyonse ilyo wabomfya icimbusu,TRUE,
09-200916-052004_bem_a40_elicit_49.wav,5.9895,mwana ine namona kwati cawamapo ukuyafwila mu mpanga atemwa mu mumana ukucila ukuleta ubusali mupepi ne nganda nga wakuula icimbusu,TRUE,
09-200916-054405_bem_a40_elicit_0.wav,5.944125,nga cakuti wayafwila mu mumana elyo walilwala,TRUE,
09-200916-054405_bem_a40_elicit_1.wav,4.038375,balya balesambamo atemwa ukutapamo amenshi kuti baambula ubulwele,TRUE,
09-200916-054405_bem_a40_elicit_3.wav,5.53575,tacasuminishiwa muntambi shesu ukubomfya icimbusu cimo nabapongoshi,TRUE,
09-200916-054405_bem_a40_elicit_4.wav,9.755625,pakuya ku ng'anda ikalamba tatulandilapo fye tubomfya amashiwi yashunguluka,TRUE,
09-200916-054405_bem_a40_elicit_5.wav,2.3595,mwamonekeni mukwai,TRUE,
09-200916-054405_bem_a40_elicit_6.wav,4.1518125,endita mukwai ala njishile ndeipushako bakula icishima,TRUE,
09-200916-054405_bem_a40_elicit_7.wav,2.2006875,tulefwaya ukukula cimo mu mushi,TRUE,
09-200916-054405_bem_a40_elicit_8.wav,5.4223125,ico cawama pakubala kusala incende iilingile,TRUE,
09-200916-054405_bem_a40_elicit_9.wav,1.4746875,icakonkapo,FALSE,Verified
09-200916-054405_bem_a40_elicit_10.wav,19.375125,icishima cifwile caba mupepi paba umusebo wa motoka lya kuleta shamende amatafwali na fimbi fyashala,TRUE,
09-200916-054405_bem_a40_elicit_11.wav,2.26875,yangu kanshi fingi filefwaikwa,TRUE,
09-200916-054405_bem_a40_elicit_12.wav,17.3105625,ee cimbi icikankala kumona ukuti icishima cili ku mulundu intampulo hundred ukufuma ku cimbusu nangu ku cishima ca ngombe,TRUE,
09-200916-054405_bem_a40_elicit_13.wav,7.0785,finshi musonda balefywa ukukula mu mushi wabo,TRUE,
09-200916-054405_bem_a40_elicit_14.wav,3.7888125,lumbuleni ifintu fibili ififwaikwa pakukula icishima,TRUE,
09-200916-054405_bem_a40_elicit_15.wav,1.54275,mwapoleni mukwai,TRUE,
09-200916-054405_bem_a40_elicit_16.wav,1.1570625,endita mukwai,TRUE,
09-200916-054405_bem_a40_elicit_17.wav,5.53575,bushe incende yakukulapo icishima ifwile yaba shani,TRUE,
09-200916-054405_bem_a40_elicit_18.wav,7.986,ifwile yaba ukutali no kupitila mulamba wa menshi,TRUE,
09-200916-054405_bem_a40_elicit_19.wav,2.7905625,ciisuma elyo cinshi cimbi icikankala,TRUE,
09-200916-054405_bem_a40_elicit_20.wav,9.3245625,tacalinga ukukula icishima pa mushili uwakosa wa mabwemabwe,TRUE,
09-200916-054405_bem_a40_elicit_21.wav,1.406625,natotela sana,TRUE,
09-200916-054405_bem_a40_elicit_22.wav,7.4415,fumyeni iloba na fosholo,TRUE,
09-200916-054405_bem_a40_elicit_23.wav,2.404875,pimeni ubukalamba bwa cishima,TRUE,
09-200916-054405_bem_a40_elicit_24.wav,1.089,imbeni no lukasu,TRUE,
09-200916-054405_bem_a40_elicit_25.wav,2.8813125,sebeni ifyani pa ncende musalile,TRUE,
09-200916-054405_bem_a40_elicit_26.wav,12.296625,ifishima kale baleimbila mumbali ya kamana icalenga ukuti amenshi ya mfula ayakumulundu yalepongomokelamo,TRUE,
09-200916-054405_bem_a40_elicit_27.wav,17.106375,ici calelenga ifiko mu menshi ayo bashalebilushako iluntu tabalati banwe nangu bepikile,TRUE,
09-200916-054405_bem_a40_elicit_28.wav,1.3839375,mulishani kuno bane,TRUE,
09-200916-054405_bem_a40_elicit_29.wav,1.860375,tulifye bwino kabili mwaiseni,TRUE,
09-200916-054405_bem_a40_elicit_30.wav,5.3769375,eya mune lelo naisa mukumyeba pa lwamisungile ya fishima,TRUE,
09-200916-054405_bem_a40_elicit_31.wav,4.44675,mufwile ukupempula ifibumba fya mu fishima lyonse,TRUE,
09-200916-054405_bem_a40_elicit_32.wav,0.9755625,mulandu nshi,TRUE,
09-200916-054405_bem_a40_elicit_33.wav,17.2198125,pantu nga ifibumba fya mufishima fyatampa ukupanga imilale ninshi mwaishiba ukuti ifishima fili mupepi nokungoloka,TRUE,
09-200916-054405_bem_a40_elicit_34.wav,20.2145625,elyo kabili tecakwesha ukunyanta pa mpela ya cishima cabula inkupiko pantu kuti waleka iloba lyasunikila mukati atemwa juti wawilamo,TRUE,
09-200916-054405_bem_a40_elicit_35.wav,2.9266875,natotela sana pakuncikulako pali fyonse ifi,TRUE,
09-200916-054405_bem_a40_elicit_36.wav,7.486875,ala kabili ndeshimikila fye bonse abekala mushi pakuti tulesunga ifishima bwino,TRUE,
09-200916-054405_bem_a40_elicit_37.wav,4.26525,ciisuma kafikenipo mukwai,TRUE,
09-200916-054405_bem_a40_elicit_39.wav,6.7835625,bushe umwina lubwe alitemwa fintu bamucinkwileko kuli andy,TRUE,
09-200916-054405_bem_a40_elicit_40.wav,8.349,akale abaume ebaleimba ifishima beka nomba nabanakashi nabo baleimba,TRUE,
09-200916-054405_bem_a40_elicit_41.wav,7.2373125,ukutapa amenshi ku fishima nincito yabanakashi beka kanofye nga cakuti umwaume taupa,TRUE,
09-200916-054405_bem_a40_elicit_42.wav,2.99475,icishima ici camoneka kwati cilebongoloka,TRUE,
09-200916-054405_bem_a40_elicit_43.wav,3.63,imbeketi iyi yilemoneka kwati nai tulika,TRUE,
09-200916-054405_bem_a40_elicit_44.wav,2.0645625,intambo kwati naipipa,TRUE,
09-200916-054405_bem_a40_elicit_45.wav,3.221625,camoneka kwati umulale naukulilako,TRUE,
09-200916-054405_bem_a40_elicit_46.wav,7.35075,inkupiko yapa cishima kwati naicepa,TRUE,
09-200916-054405_bem_a40_elicit_47.wav,2.542375,ndemona kwati takuli kutapa menshi lelo,TRUE,
09-200916-054405_bem_a40_elicit_48.wav,7.3734375,iloba kwati lilesunika fye ku mulundu wa ku nakisha,TRUE,
09-200916-054405_bem_a40_elicit_49.wav,10.98075,iwe mune tala itilako amenshi ku mucanga wa muchishima ilyo taulatampa kwimba,TRUE,
