201002-000224_bem_fb0_elicit_0,pantu nga wapaapa ninshi ubukashana bwapwililila nakalyanakalya 
201002-000224_bem_fb0_elicit_1,ine e candesha no kupwa kukali kwine 
201002-000224_bem_fb0_elicit_2,emulandu nabutukile ku mulume batufishe nankwe ku pritoria 
201002-000224_bem_fb0_elicit_3,njikala nankwe nomba nga ndi na bana umulongo 
201002-000224_bem_fb0_elicit_4,no kubipa nga nabipa nganshi 
201002-000224_bem_fb0_elicit_5,bushe iwe ifumo lyobe lilekusekesha 
201002-000224_bem_fb0_elicit_6,ine ndeti umukashana uwawama umubili nga iwe talingile kukwata mwana 
201002-000224_bem_fb0_elicit_7,nga wati bufi nakubepa ale leka ukatila fye ubushiku abalumendo bakeshiba ukuti waba no mwana apo pene tawakamone wa ku kubikako amano 
201002-000224_bem_fb0_elicit_8,ninshi apwa ilyo janet amwene aya mashiwi mukwai atala aikata na mu mutwe ubulanda bwamwishila ubukalamba 
201002-000224_bem_fb0_elicit_9,ukufuma bulya bwine bushiku atampa ne nshila sha kuti engonaeilamo ifumo no kufwaya ukuputule cupo na joni 
201002-000224_bem_fb0_elicit_10,ilyo joni afika pa ng anda ukufuma kulya tusosele kwa banda janet ati bweleniko 
201002-000224_bem_fb0_elicit_11,joni te wakuposako na mano janet wena apo atendeka no kututuma ati nalimo nabamushimikila umulandu wa ku biaolo 
201002-000224_bem_fb0_elicit_12,pa kuti ahininkishe nga natesha cinecine amwipusha ati mwe bantu ndeti mwabweleni kanshi finshi ndufyenye pa kukaananjasuka 
201002-000224_bem_fb0_elicit_13,joni amwasuka bukalibukali ati uleti no kuti mwabweleniko nga we ulewamya tala isa kuno tumfwe 
201002-000224_bem_fb0_elicit_14,baingila bonse babili mu ng anda 
201002-000224_bem_fb0_elicit_15,apo pene joni asukushila janet kalata ilya yalwile mu cibemba ati e kalata afumine kuli banoko mwaice uyo ati 
201002-000224_bem_fb0_elicit_16,janet camupesha amano alalakalaka fye na kalata mu minwe 
201002-000224_bem_fb0_elicit_17,cilya ati asosepo cimo joni amuputula ati wikaana nelyo kamo pantu nga nayaleta abakukushinina cilesabipa sana 
201002-000224_bem_fb0_elicit_18,iwe uwakutumine uyu kalata ni cibusa obe kapenta mubiyo ku lusaka kaana 
201002-000224_bem_fb0_elicit_19,janet apakukanina pabula asumina ati kwena cinecine munandi e wantumine lelo kapenta alyupwa 
201002-000224_bem_fb0_elicit_20,joni nga kanshi cinshi walemufishila 
201002-000224_bem_fb0_elicit_21,janet naleti kuti wakalipa nga nakweba ica cishinka 
201002-000224_bem_fb0_elicit_22,joni kuti nakalipa shani kalata nga pali ifisuma 
201002-000224_bem_fb0_elicit_23,bushe ifi alembele muli uyu kalata kuti munandi alintemwa alamfushana ifyakuteeka ing anda 
201002-000224_bem_fb0_elicit_24,ine cinecine natwishika uyu mukashana teti abe uwaupwa bushe uwaupwa kuti akaana shani ukukwata abana 
201002-000224_bem_fb0_elicit_25,nakulesha ukwasuka uyu kalata nga wayasuka pasopo 
201002-000224_bem_fb0_elicit_26,janet apo enamine fye panshi aleyalaula ne minwe 
201002-000224_bem_fb0_elicit_27,joni nao taishibe ukuti alyasuka kalata kale kabili lelo line no kubwela nabwela kalata 
201002-000224_bem_fb0_elicit_28,janet ati iyoo cinecine apo wandesha nshakamubweseshe kalata wakwe 
201002-000224_bem_fb0_elicit_29,aya mashiwi yati yapwe joni afumya icitukutuku pa kuti acipukute 
201002-000224_bem_fb0_elicit_30,no twaice tubili twaisamwafwako ukuciwamya cilya bapwa icitukutuku calabeeka fye nge cipya 
201002-000224_bem_fb0_elicit_31,joni asantika utwaice atupela na bishiketi twaya na kumwabo 
201002-000224_bem_fb0_elicit_32,joni na janet nabekala mu ng anda joni alesoma inyushi janet wena alecisa amalaya baumfwa akaice pa mwinshi nimwe ndeita ba joni kwa paul canda 
201002-000224_bem_fb0_elicit_33,joni eya mune tangilako nalaisa nombaline 
201002-000224_bem_fb0_elicit_34,janet apo na maka mu mubili yapwa ku mwenso pantu ashininkisha ukuti nomba ilya nkaama yayaishibikwa 
201002-000224_bem_fb0_elicit_35,apo acikalipa filya pa mulandu wa kalata nga kanshi nga itesha calo lya ku biaolo nga lyaishibikwa cileisaba shani 
201002-000224_bem_fb0_elicit_36,cilya joni ashingilila janet aleka no kucisa amalaya alatontonkanya ifyakucita pa kupusuka ku bukali bwakwa joni 
201002-000224_bem_fb0_elicit_37,asanga inshila ya mupepi kubeepa ukulwala 
201002-000224_bem_fb0_elicit_38,pa nshita ii janet takwali cintu cimbi ico aletinisha muno calo ngo bukali bwakwa joni 
201002-000224_bem_fb0_elicit_39,lulya lupi amumine mu biaolo tatwalemuteeka bwino nga aibukisha 
201002-000224_bem_fb0_elicit_40,joni afika pa ng anda pa paul aingila balaposhanya na babiye 
201002-000224_bem_fb0_elicit_41,baikala balalya ne cakulya ubwali cilya bwapwa joni kwati naishiba ukuti ababiye bali ne lyashi lyakumweba e watampako ati 
