03-200925-003120_bem_798_elicit_0  UKUBA UWA MANO MU MENSO YOBE WE MWINE NGE FYASUSHA KASESEMA ESAYA MU
03-200925-003120_bem_798_elicit_1  AKAPATULULA KA LULIMI NO MUTUNDU KUTI KWAISALILA ISENGE PANTU MULEPILIBULA ICISHINTE CE SENGE ICABA NI KRISTU
03-200925-003120_bem_798_elicit_2  AMASAMBILISHO YA BUFI KUTI YAKULA ABANTU UKUBAFUMYA MUKUKONKA IMFUMU KABILI UKU E KUPUTULA ISENGE NA ENA PAMOFYE NA BASAMBI BA CINE
03-200925-003120_bem_798_elicit_3  ILYO TULI NE SENGE ILYACINCILA MU CILONGANINO E NSHILA YA KUTUNGILILA NO KUKOSELESHAMO UMO NO MUNANKWE 
03-200925-003120_bem_798_elicit_4  KABILI NO KUFUNTULA IMILIMO YA MUPUSUSHI WESU PANO ISONDE
03-200925-003120_bem_798_elicit_5  ISENGE KU BENA KRISTU BACINSHIKA BUPALO UBWA KUPAPISHA LELO PA MAPALO YONSE AYAKWA LESA MULIMO WESU UKWIKALA ABAMUSHILO
03-200925-003120_bem_798_elicit_6  ELYO LYENA TUKABA NO KUSEKELELAMO MWISENGE LYAKWA LESA PE NA PE
03-200925-003120_bem_798_elicit_7  MU NAMBALA ONE NA TWO YA IYI MAGAZINE TWALILEMBELE PA KABUNGWE KAMO AKA MISEPELA AKALEBOMBA MUFITUNGU IFINGI IFYA MUNO ZAMBIA 
03-200925-003120_bem_798_elicit_8  MUKUKANSHA IMISEPELA MU FYAKUBOMBELAMO IMILIMO IYALEKANALEKANA IYA MIKALILE ISUMA
03-200925-003120_bem_798_elicit_9  LELO KU CAMUPAMBA AKA KABUNGWE KAUMANA AKAPI NABA MIPEPELE IPYA UKUFUMA KU AMERIKA IYITWA SCIENTOLOGY 
03-200925-003120_bem_798_elicit_10  KABILI MULI UKU KUBOMBELA PAMO EMO BALESALANGANISHISHA IFITABO FYABO 
03-200925-003120_bem_798_elicit_11  MULI IFI FITABO IMISEPELA YESU ILEITWA KULI IYI MIPEPELE IPYA 
03-200925-003120_bem_798_elicit_12  NGA CAKUTILA YAITABA KULI UBU BWITE NINSHI KUNTANSHI IKASUMINA UKUTI TAKWABA LESA UMO LELO KWABA IMINTAPENDWA YA BALESA 
03-200925-003120_bem_798_elicit_13  NGA CAKUTI YAISHIBE UKUTI YESU ECIBUSA ICAWAMISHA PA FIBUSA FYONSE IKAALUKA IKALATILA NI RON
03-200925-003120_bem_798_elicit_14  IKAMBA UKULANDA UKUTI UMUNTU ONSE ALIBAFYE BWINO ELYO NE PUSUKILO TALYAKWATA INCITO KULI ENA 
03-200925-003120_bem_798_elicit_15  IKAPILIBUKILA KU FITABO FYA SCIENTOLOGY MUKUFWAYA ICINE ICIPINGO CIKABA ICAFYE MU MENSO YAIKO
03-200925-003120_bem_798_elicit_16  LUTAMPULO NSHI TWALASENDA PAMO NGE NTUNGULUSHI
03-200925-003120_bem_798_elicit_17  AMASAMBILILO AKABUNGWE KALEPEELA MUKUKANSHA IMISEPELA MU FYAKUBOMBELAMO BWINO IMILIMO YALI BWINO SANA 
03-200925-003120_bem_798_elicit_18  ELYO IMISEPELA YESU ILEKABILWA UKUITEYANYA PALWA MIKALILE YA KUNTANSHI
03-200925-003120_bem_798_elicit_19  ILYO TWAMONA IBUMBA LYA MISEPELA YESU YAKONKA UBU BWITE NGEFYO CACITIKE KUNO MU KASAMA  MANO NSHI TWALAPANDAKO IMISEPELA YESU
03-200925-003120_bem_798_elicit_20  UBWASUKO UBWANAKISHA
03-200925-003120_bem_798_elicit_21  NGA BAKOLWE BATATU APA UKUTI TWASALA UKUKANA CITAPO ICILI CONSE
