02-200917-133828_bem_197_elicit_1  UMUNTU UWABIPA TAPILIBUKA BWANGU
02-200917-133828_bem_197_elicit_2  UMUNTU NANGU UMULANDU WABIPA TAUPILIBUKA BWANGU
02-200917-133828_bem_197_elicit_3  UKUIPILILIKA PAKULUBULULA UMULANDU
02-200917-133828_bem_197_elicit_4  WAMFYENGELESHA FYE
02-200917-133828_bem_197_elicit_5  ILYO CIMO CAPAMFYA NOBUSHIKU BONSE KUTI WAENDA MPAKA UCIBOMBE
02-200917-133828_bem_197_elicit_6  UKWILA KWA BUSHIKU TEKUTI KULESHE UULEYA KUMWAKWE UKUFIKA
02-200917-133828_bem_197_elicit_7  ILYO ULEKABILA ICINTU CIMO TAKULI CINGACINGILISHA UKUTI UCICITE
02-200917-133828_bem_197_elicit_8  UMUNTU NGA AILILWA TASALA PAKULAALA CIKULUFYE ATUBILISHEKO
02-200917-133828_bem_197_elicit_9  UMUNTU UWABA NE MISANGO IIBI ELYO NAKAMUSANGO KAMO AKASUMA
02-200917-133828_bem_197_elicit_10  CILAUMO PALWAKWE ABALEYA BAISHIBILE NABALESHALA NABO BAISHIBILE
02-200917-133828_bem_197_elicit_11  UKUPATIKISHA UMUNTU KU FYAKUMUPINDA IFINGI
02-200917-133828_bem_197_elicit_12  AKAKUPINDA TAWAKANWE NA MENSHI
02-200917-133828_bem_197_elicit_13  UKUPAMFIWA SANA PAKUPINGULO MUNTU ICAKUTI MWALUFYA NOMULANDU APO WIMININE
02-200917-133828_bem_197_elicit_14  UKUCILINGANYA UMUNTU ILYO ALELUBULULA UMULANDU
02-200917-133828_bem_197_elicit_15  UKULUFYANYA KUPYA KUTI KWALENGA ABANTU BEBUKISHE NEFYAKALE
02-200917-133828_bem_197_elicit_16  NGATAULEMFWA IFYO NDEKWEBA NDEKUSHA USHALE WAIMWENA
02-200917-133828_bem_197_elicit_17  TEKUTI WISHIBE IFYO UMUNOBE ALETONTONKANYA
02-200917-133828_bem_197_elicit_18  UMWENI AFWILE ATALUKA KU MALYASHI YAMUSHI YONSE PANTU KUTI AILETELELA
02-200917-133828_bem_197_elicit_19   UMUNTU NGA ALEMANA TAMUFWILE MWAMUPOSA NANGU UKUMULABAKO KWATI ALIFWA
02-200917-133828_bem_197_elicit_20  TEKUTI UKOMENENE INSHIKU NANGU UKWIMIKE NSHITA
02-200917-133828_bem_197_elicit_21  UMUNTU UUSHILEFWAYA KUSANGWA NA BANANKWE LYONSE ALAFWAYAPO AKABEPESHO KAMO
02-200917-133828_bem_197_elicit_22  NGABAKUSOKA UFWILE WACENJELA
02-200917-133828_bem_197_elicit_23  UMUNTU UWAKWISHIBA BWINO TEKUTI AKWALUKILE NAKALYA
02-200917-133828_bem_197_elicit_24  TAKWABA KWISHIBA ICO LESA ALEKUPELA NGA MWANA NANGU CILEMA UFWILE WAPOKELELAFYE
