03-200924-194133_bem_798_elicit_0  UBWA LELO LESA ALEKUPELA MU MINWE YANDI 
03-200924-194133_bem_798_elicit_1  UBUSUMA BWA CITETEKELO CESU BWAKUTI CASHINTILILA PALI LESA 
03-200924-194133_bem_798_elicit_2  KABUMBA WA MULU NE SONDE UWAMUYAYAYA UWA MAKA YONSE KABILI UUTUSAKAMANA 
03-200924-194133_bem_798_elicit_3  TATULINGILE UKUCETEKELA MU FINTU IFYO TWINGASENDA NE MINWE YESU LELO TUCETEKELE MULI LESA UUTULELA 
03-200924-194133_bem_798_elicit_4  DABIDI TAISANSABIKE UMWINE 
03-200924-194133_bem_798_elicit_5  LELO AICEFYA NO KULANGO KUTI UKUCIMFYA KWAKWE KUSHINTILILE PAKUBAPO KWAKWA LESA 
03-200924-194133_bem_798_elicit_6  UUSHIMONEKA LELO MUCINECINE EPO ABA
03-200924-194133_bem_798_elicit_7  YEHOBA APUPUTULA BALANDA AWISHA BABIFI BASUKA BASHIBWA PANSHI
03-200924-194133_bem_798_elicit_8  DABIDI TAUMFWILE NSONI PA FYANSO AKWETE 
03-200924-194133_bem_798_elicit_9  BUSHE ABABOMFYA MALEGENI BANTU BAMUSANGO SHANI 
03-200924-194133_bem_798_elicit_10  ILINGI LINE BAICE BAMALONDA PAMO NA BAKACEMA 
03-200924-194133_bem_798_elicit_11  NGA UULABOMFYA ILEGENI ULESUMINISHA UKUTI ULI WA MWIBUMBA LIMO PALI AYO
03-200924-194133_bem_798_elicit_12  TEKUTI CIKULENGE INSONI MU MUSHI WABA NELYO ULI NA BANOBE UKUBOMFYA ILEGENI 
03-200924-194133_bem_798_elicit_13  LELO ILYO WAFIKA KU NCENDE YA BULWI UKULI ABANTU ABENGI UKUFUMA MU FYALO IFYA LEKANALEKANA NE MFUMU ILEKUTAMBA  WALACITA SHANI
03-200924-194133_bem_798_elicit_14  ABANTU ABENGI PALI NDAKAI KUTI BATEMWA UKUYA KU BULWI NE FYANSO FINE FINE PAKUTI TABAMONEKE ABATUMPA 
