05-200916-152753_bem_a40_elicit_0  TAMWALETEMWA UKULYA UBWALI
05-200916-152753_bem_a40_elicit_1  BALEOWA KU AMERICA 
05-200916-152753_bem_a40_elicit_2  TABALEOWA KU AFRICA
05-200916-152753_bem_a40_elicit_4  TATWALELYA IFISAASHI KU MANSA
05-200916-152753_bem_a40_elicit_5  ALESHANA RHUMBA KU KABWE 
05-200916-152753_bem_a40_elicit_6  TALESHANA RAGGAE KU KABWE
05-200916-152753_bem_a40_elicit_7  TUKALASAMBILISHA ABANTU TATWAKALESAMBILISHA ABANTU MU MUSHI KU TAUNI
05-200916-152753_bem_a40_elicit_8  BAKALALIMA AMATABA TABAKALELIMA IFYUMBU
05-200916-152753_bem_a40_elicit_9  MUKALAPANGA AMAYANDA 
05-200916-152753_bem_a40_elicit_10  TAMWAKALE KUULA IFIMBUSU
05-200916-152753_bem_a40_elicit_11  NKALALYA IFISABO MU MUSHI 
05-200916-152753_bem_a40_elicit_13  MFWILE UKWIPIKA UMUNANI ILYO NSHILAYA KU TAUNI 
05-200916-152753_bem_a40_elicit_14  BAFWILE UKUSAMBA ILYO TABALAYA KU SUKULU
05-200916-152753_bem_a40_elicit_15  MUFWILE UKUNWA AMENSHI ILYO TAMULAYA MUKUSENDAMA 
05-200916-152753_bem_a40_elicit_17  AFWILE UKULYA UBWALI ILYO TALAYA MUKWANGALA 
05-200916-152753_bem_a40_elicit_18  BUSHE MWESHI NSHI MWAFYELWE 
05-200916-152753_bem_a40_elicit_19  NAFYELWE MU MWESHI WA JANIWALE NGA IMWE
05-200916-152753_bem_a40_elicit_20  NAFYELWE MU MWESHI WA EPULELO 
05-200916-152753_bem_a40_elicit_21  BUSHE BUSHIKU NSHI ZAMBIA YAPOKELE UBUNTUNGWA
05-200916-152753_bem_a40_elicit_22  UBUSHIKU UBWALENGA TWENTY FOUR MU MWESHI WA OKUTOBA
05-200916-152753_bem_a40_elicit_23  NGA AMELIKA BUSHIKU NSHI YAPOKELE UBUNTUNGWA
05-200916-152753_bem_a40_elicit_24  UBUSHIKU UBWALENGA FOUR MU MWESHI WA JULY
05-200916-152753_bem_a40_elicit_25  CIISUMA NATOTELA
05-200916-152753_bem_a40_elicit_26  INCITO SHIMO SHIBOMBWA FYE NA BAUME ELYO SHIMBI NA BANAKASHI
05-200916-152753_bem_a40_elicit_27  PAKWIMBE FISHIMA KUPOKO LUUSA KULI BA MWINE MUSHI
05-200916-152753_bem_a40_elicit_28  MU CIBEMBA BALANDA ICISUNGU ICA KUBENDA NGA BALELANDA PA MYESHI
05-200916-152753_bem_a40_elicit_29  MU CIBEMBA IMYESHI BAISHIBILA KU KUTULA KWA MWESHI
05-200916-152753_bem_a40_elicit_30  NSHAKWATA INDALAMA 
05-200916-152753_bem_a40_elicit_31  TAMWAKWATA ING'ANDA 
05-200916-152753_bem_a40_elicit_33  TATWAKWATA INCITO 
05-200916-152753_bem_a40_elicit_34  NDALIMA IBALA ILYO NSHILABYALA 
05-200916-152753_bem_a40_elicit_35  MULABYALA ILYO TAMULASEKWILA 
05-200916-152753_bem_a40_elicit_36  BALASOMBOLA ILYO TABALALYA
05-200916-152753_bem_a40_elicit_37  TULAPYANGA ILYO TATULAIPIKA 
05-200916-152753_bem_a40_elicit_38  BUSHE CINSHI CILEMUCUUSHA
05-200916-152753_bem_a40_elicit_39  BAKABOLALA BALINJIBILA MAILO
05-200916-152753_bem_a40_elicit_40  CABIPA FINSHI BAMWIBILE
05-200916-152753_bem_a40_elicit_42  BUSHE MWALICITA LIPOTI KU POLISHI
05-200916-152753_bem_a40_elicit_43  EE MUKWAI LELO TABALASANGAPO NANGU CIMO 
05-200916-152753_bem_a40_elicit_44  EKO NALABWELELA UKUYA IPUSHA NAKABILI
05-200916-152753_bem_a40_elicit_45  CIISUMA NATULEYA BONSE KU POLISHI TUYEUMFWA NGA KUTI BATWAFWILISHAKO UKUSANGA IFIPE FYENU
05-200916-152753_bem_a40_elicit_46  NATOTELA SANA MUKWAI
05-200916-152753_bem_a40_elicit_47  ILINGI ABENA ZAMBIA BALAAFWILISHA UMUNTU ULEFWAYA UBWAFWILISHO
05-200916-152753_bem_a40_elicit_48  ABENA ZAMBIA BALAPEELA NANGU BAKWETE UTUNONO
05-200916-152753_bem_a40_elicit_49  ABAKALAMBA NGA NABASENDA ICIPE UMWAICE AFWILE UKUBAPOKA NO KUBASENDESHAKO MUCINSHI
