03-200924-181036_bem_798_elicit_0  ICI CALOLELE MUKUTI ILI PAKA TALYALI MUKATI KA CIPANGANO CAKWA LESA NA BANTU BAKWE
03-200924-181036_bem_798_elicit_1  TALEPELELAFYE PAKUSALULA BASHILIKA BA CALO LELO ALESALULA BASHILIKA BAKWA LESA WA MWEO
03-200924-181036_bem_798_elicit_2  EKUTILA NI LESA UMWINE GALYATI ALETUMFYA 
03-200924-181036_bem_798_elicit_3  UYU MUTUMFYO EUNTU DABIDI ALETILA LISEBANYA
03-200924-181036_bem_798_elicit_4  TACIPELELE FYE PA BWAFYA LELO MUSEBANYA 
03-200924-181036_bem_798_elicit_5  LESA WAYABA BASHILIKA KUTI ATWALILILA UKUTUMFIWA PA MYAKA IYINGI 
03-200924-181036_bem_798_elicit_6  ICO TACILINGILE
03-200924-181036_bem_798_elicit_7  DABIDI AISHIBE UKUTI CALEKABILWA UKUCITAPO CIMO PAKUTI BU LESA BUMONEKE
03-200924-181036_bem_798_elicit_8  KWALIBA INSHITA ISHO UMUNTU ENGAFULUMUKA UBWAFYA NE NSHITA ISHO UMUNTU ENGASUULA KABILI KWABA NE NSHITA ISHO UMUNTU ALINGILE UKULOLENKANA NO BWAFYA 
03-200924-181036_bem_798_elicit_9  PALI IYI NSHITA GALYATI ALESAALULA LESA UMUCINSHI NO BUKATA BWAKWA LESA FYALEPONTELWA 
03-200924-181036_bem_798_elicit_10  DABIDI AISHIBE ICALINGILE UKUCITWA NO MUSANGO ALEMWENAMO IFINTU WAMULENGELE UKUSHININKISHO KUTI IFISHINGACITWA FYALI NOKUCITWA PANTU LESA ALI KULUBALI LWAKWE 
03-200924-181036_bem_798_elicit_11  NGA CAKUTI TWAMONA BWINO BWINO LYENA TULEKULWA BWINO
03-200924-181036_bem_798_elicit_12  DABIDI TALWELE NA BAMUNYINA ILYO BALEMUKANYA 
03-200924-181036_bem_798_elicit_13  INSHITA SHIMO BAMUNYINEFWE BALABA BWAFYA 
03-200924-181036_bem_798_elicit_14  ILINTU WAFWAYA UKUCITA ICINTU CIMO PA LUKUTA NA PANGANDA BENA BALAFULWA NELYO KUTWISHIKA AMAKA YOBE ELYO NO KULANDA IFIBI PALI IWE 
