12-201010-074419_bem_526_elicit_0  UBWITE BWA KU ISANO
12-201010-074419_bem_526_elicit_1  KUTI UKUFIKA KU ISANO IMFUMU AITI YANGU BANE IFYO NAMUCUSHA ALA NACILATI NALIMO MULI KU NGANDA KANSHI MWILE KU KOWA 
12-201010-074419_bem_526_elicit_2  EYA BANE NATI KABESE BAPOKE AKANANI AKA TULOLESHE KU KANANI IMFUMU YASONTA 
12-201010-074419_bem_526_elicit_3  KANSHI NI SAWE WA MBUSHI UWINEWINE UWAKUTI NA MASENGO YAPONA NA PA MASENSE YA PEKOSHI 
12-201010-074419_bem_526_elicit_4  BAEBA NA KAICE UKUTANTANYA IMBUSHI UKUTWALA KU NGANDA KUMWESU
12-201010-074419_bem_526_elicit_5  AMASHIWI YA KUTI TUTASHISHEMO IMFUMU YABULA TWAWA FYE PANSHI TWATOTA 
12-201010-074419_bem_526_elicit_6  TWAISAIMA TWALAKONKA NO MWAICE PANUMA NI MU KANWA NKOKWELE 
12-201010-074419_bem_526_elicit_7  KUTI NGA PALYA NTAMPILE UKULANDA ABAICE BALEFUNDA NO KUFUNDA 
12-201010-074419_bem_526_elicit_8  TWATAMPA NO KWIPIKA AMABU YA KULILA PA TWELUFU KOLOKO LILYA LINE BUWAMA UKUMINA 
12-201010-074419_bem_526_elicit_9  UBO BUSHIKU TWAIPAKISHE NGANSHI KUTI TWALALA FYE NO TUFUMO UTWATOSOKA
12-201010-074419_bem_526_elicit_10  ULUCELO TWACELELA NA KU SUKULU KU NCITO YESU 
12-201010-074419_bem_526_elicit_11  INCITO YA KUFUNDISHA ISUMA NGANSHI PALIBUFI NGA BAKAFUNDISHA BESHILE NABALYA
12-201010-074419_bem_526_elicit_12  UBU BUSHIKU BWAWEME NGANSHI MWANDINI 
12-201010-074419_bem_526_elicit_13  NOMBA UKO CABIPILE NI PA MULANDU WA KUTI ABANA TWALEFUNDISHA BANTU BAYAFYA NGANSHI 
12-201010-074419_bem_526_elicit_14  KUTI NGA WATI CLASS STAND UP CILYA WABEPUSHA WATI WHAT ARE YOU DOING' WAUMFWA ABATI WE ARE STANDEN UP' 
12-201010-074419_bem_526_elicit_15  NOMBA MUKWAI PAKUTI BOLOLOKE BATIE WE ARE STANDING UP'NINSHI NAPAPITA NE NSHITA
12-201010-074419_bem_526_elicit_16  UKUFUNDISHA ABAICE BA MUSANGO UYU CINTU CAYAFYA SANA KANSHI E CILYA BAKAFUNDISHA BAMO BOMINA 
12-201010-074419_bem_526_elicit_17  KABILI NGA NINE NYINGISHA BAKAFUNDISHA KUTI BALYA BAFUNDISHA UTWAICE EBO NDEFOLESHA IMPIYA ISHINGI PANTU E BACULISHA UKUCILAMO 
12-201010-074419_bem_526_elicit_18  KWENA ABENGI TETI BASUMINE IFUNDE LYA UYU MUSANGO NGA CAKUTI LYALIPANGILWE MU NE NDA YA MAFUNDE 
12-201010-074419_bem_526_elicit_19  ELYO NOMBA NGA CAKUTI ABENGI TABASUMINE NINSHI TABALAMONAPO IFYO BAKAFUNDISHA BA TWAICE BACULA ILINGI LINE NABO BAICITA FYE UTWAICE 
12-201010-074419_bem_526_elicit_20  BAKAFUNDISHA BAFUNDISHA ABAKALAMBA TABACULISHA NGA BALYA ABAFUNDA UTWAICE
12-201010-074419_bem_526_elicit_21  KANSHI KWENA APO YALI NI NCITO YESU IYA KUBALUNGIKA TWALIBALUNGIKE BALYA BAICE BALALANDA FYE BWINO SANA NGA FILYA FINE UMUNTU ONSEHASAMBILILA
12-201010-074419_bem_526_elicit_22  NOMBA ABAICE BENE TABATEMWISHISHE ISUKULU IYO BAKUPATIKISHA FYE NGA FILYA BACEMA INGOMBE KWENA UWAINGILA MU MUSHITU CINECINE TOMFWA NSWASWA 
12-201010-074419_bem_526_elicit_23  PANTU UUFUNDISHA UTUNONO NAO NGA ALAUMFWA KU BANANKWE KUTI TWENTY EIGHT NABANSUULA AFUMA INCITO MAILO ABATI LILOFWA 
