05-200916-131248_bem_a40_elicit_0  TUKANWA UBWALWA 
05-200916-131248_bem_a40_elicit_1  MUKASHITA INSAPATO
05-200916-131248_bem_a40_elicit_2  BAKASENDA IFYAKUFWALA 
05-200916-131248_bem_a40_elicit_3  INDELESHI SHINGA
05-200916-131248_bem_a40_elicit_4  INDALAMA SHINGA
05-200916-131248_bem_a40_elicit_6  AMACUUNGWA YANGA
05-200916-131248_bem_a40_elicit_7  IFYAKUFWALA FINGA
05-200916-131248_bem_a40_elicit_8  MWAKWATA INDELESHI SHINGA 
05-200916-131248_bem_a40_elicit_10  MWAKWATA AMATOLOSHI YANGA 
05-200916-131248_bem_a40_elicit_11  FINSHI MULEFWAYA UKULYA 
05-200916-131248_bem_a40_elicit_12  FINSHI MUKWETE MUNO
05-200916-131248_bem_a40_elicit_13  NATUKWATA UBWALI INKOKO UMUPUNGA ELYO NA CASTLE IYATALALA
05-200916-131248_bem_a40_elicit_14  CIISUMA MPEELENIKO UMUPUNGA NA CASTLE IYATALALA
05-200916-131248_bem_a40_elicit_15  BUSHE MULEFWAYA UMUPUNGA NE NAMA NANGU NE SABI
05-200916-131248_bem_a40_elicit_16  NDEFWAYA UMUPUNGA NE NKOKO PANTU NATEMWISHA INKOKO
05-200916-131248_bem_a40_elicit_17  NGA IMWE SHIKULU FINSHI MULEFWAYA UKULYA 
05-200916-131248_bem_a40_elicit_18  MPELENIKO FYE MOSI ITATU NE NAMA
05-200916-131248_bem_a40_elicit_19  PEMBELENIKO PANONO
05-200916-131248_bem_a40_elicit_20  CIISUMA TWATOTELA
05-200916-131248_bem_a40_elicit_21  IFYAKULYA FIMOFIMO KWATI INONDO IMBALALA ISHIBISHI NOMUTWE WESABI BAUME BALYA ILINGI
05-200916-131248_bem_a40_elicit_22  LIMOLIMO ABANTU BALALYA IFIMBALA
05-200916-131248_bem_a40_elicit_23  MUMAYANDA YAKULILAMO TE NSAMBU UKUBOSHA LELO NGOLEFWAYA KUTI WABOSHA
05-200916-131248_bem_a40_elicit_24  ABAANA ABAUME TABALIILA PAMO NA BANYINA ABAANA ABANAKASHI NABO TABALIILA PAMO NA BAWISHI
05-200916-131248_bem_a40_elicit_25  MULESUNGA BWINO IFYAKUNWA ILYO MULI MUNCENDE MUSANGWA ABANTU ABENGI
05-200916-131248_bem_a40_elicit_26  NDEFWAYA UKULYA UBWALI
05-200916-131248_bem_a40_elicit_27  NSHILEFWAYA UKULYA UMUPUNGA
05-200916-131248_bem_a40_elicit_28  MULEFWAYA UKULYA INKOKO 
05-200916-131248_bem_a40_elicit_30  BALEFWAYA UKUYA KU MALIKETI 
05-200916-131248_bem_a40_elicit_31  TABALEFWAYA UKUYA KU TAUNI
05-200916-131248_bem_a40_elicit_32  TULEFWAYA UKWIPIKA UMUSALU 
05-200916-131248_bem_a40_elicit_33  TATULEFWAYA UKWIPIKA INAMA 
05-200916-131248_bem_a40_elicit_34  NDEIPIKILA 
05-200916-131248_bem_a40_elicit_35  BALEIWASHISHA
05-200916-131248_bem_a40_elicit_36  TULEIWASHISHA 
05-200916-131248_bem_a40_elicit_37  MULEIPIKILA 
05-200916-131248_bem_a40_elicit_38  NDEIPIKILA UBWALI 
05-200916-131248_bem_a40_elicit_39  NSHILEIPIKILA INAMA
05-200916-131248_bem_a40_elicit_42  BALEIWASHISHA IFYAKUFWALA 
05-200916-131248_bem_a40_elicit_43  TABALEIWASHISHA AMALANGETI
05-200916-131248_bem_a40_elicit_44  TULEIBILILA AMASHIKETI 
05-200916-131248_bem_a40_elicit_45  TATULEIBILILA AMATOLOSHI
05-200916-131248_bem_a40_elicit_46  NDAKUSHITILA AMATABA 
05-200916-131248_bem_a40_elicit_47  NDAMWIPIKILA UBWALI 
05-200916-131248_bem_a40_elicit_48  NSHIMWIPIKILA UMUPUNGA
05-200916-131248_bem_a40_elicit_49  MULANSHITILA ICITENGE 
