01-200929-221342_bem_fb0_elicit_0  ICIPANDE CA BUBILI
01-200929-221342_bem_fb0_elicit_1  JANET MU MUTIMA WAKWE ALEFWAYA SANA UKUTEMWIKWA KULI CILUMENDO UMO UWALUMBUKA KU MICITILE IMO IYA MU TAUNI UKUCILA IMISANGO YA FYANGALO 
01-200929-221342_bem_fb0_elicit_2  KANSHI UBUSHIKU AMWENE JONI ALEPANTE MPILA NGA KU MASHINI ATAMPILE UKUFWAYE NSHILA YA KUKUMANISHAMO JONI NO KULANDA NANKWE NO KUCITE CIBUSA NANKWE 
01-200929-221342_bem_fb0_elicit_3  E CALENGA BULYA BUSHIKU BAKUMENE NA JONI CALI FYE NKUMA E LILYA LYASHI MWAUMFWA NATANTALILA
01-200929-221342_bem_fb0_elicit_4  JANET NELYO ALI FYE UMUKASHANA UWAMULENGA ABO BALEYANGALA NANKWE KU LUSAKA BALIMUSAMBILISHE IMISANGO YA BUWELEWELE ILYA PA CINA TAUNI BATILA BUKAPENTA 
01-200929-221342_bem_fb0_elicit_5  LELO NELYO ALI NI KAPENTA ALI UWAICINIKA TALEFWAYA FYE UKUTEMWIKWA KULI UMO UWAKUMULISHA UBUSAKA NO KUMUFWIKA BWINO 
01-200929-221342_bem_fb0_elicit_6  UKUFWAYO KUPWA KWENA TATALILE AKULOTA MU MUTWE WAKWE PALIBUFI NGA KUKWATA UMWANA KWENA APATILE KUMO NO MWANAKASHI AMONA APAAPA UMWANA 
01-200929-221342_bem_fb0_elicit_7  BAKAPENTA BAIEYANGALA NABO MU LUSAKA E BAMUFUNDILE BATI 
01-200929-221342_bem_fb0_elicit_8  WE MUKASHANA NGA WAKWATA UMWANA KUTI WASANGUKO MUKOTE NA BALUMENDO TETI BAKUPOSEKO MANO NAKALYA FYE 
01-200929-221342_bem_fb0_elicit_9  AYA E MAFUNDISHO JANET ALI NAYO MU MUTWE INSHITA SHONSE
01-200929-221342_bem_fb0_elicit_10  JONI UKO AILE ABABIYE BAYACULA NGANSHI KU KUKUTIKA KU LYASHI LIMO LINE ILYA PALI JANET PHIRI 
01-200929-221342_bem_fb0_elicit_11  IFYO  NAPANGENE NA JANET FYENA AFISA KU BABIYE APELA FYE PA KULUMBILISHA UBUSUMA BWAKWE
01-200929-221342_bem_fb0_elicit_12  MU NSHIKU YA MULUNGU AKASUBA PAUL ROBIN ABABIYE BAKWA JONI NA JONI WINE BAFWALA BWINOBWINO PA CINA AMERICA BAISAIMA BALAYA NA KU BIAOLO 
01-200929-221342_bem_fb0_elicit_13  BASHIFIKA FYE MU BIAOLO BALAPINGUSHANYA UMWAKUTI BALENWENA UBWALWA 
01-200929-221342_bem_fb0_elicit_14  JONI ALAEBA ABABIYE ATI BANE NATUTALE TUNWEPO UBWA CIBUKU PANONO TUNWE ICI KOPO CIMO ICIKALAMBA ELYO TUBWELE KU NGANDA YA MABOTOLO
01-200929-221342_bem_fb0_elicit_17  CILIA BAIKALA INSHITA YAPITA JONI AIMA UKUTI NTANDALEKO MU BIAOLO KUTI ENDE NGEFI FYALYANA NA BANALUME 
01-200929-221342_bem_fb0_elicit_18  BANALUME ABATI WE MWANA KANSHI ULI MUNO ALA MUNE ENESHA MPELAKO TWO SIX NSHITEMO UBWALWA
01-200929-221342_bem_fb0_elicit_19  BWANGUBWANGU JONI AFUMYA TWO SIX APELA BANALUME NABO NECE BAKOLOLWE BALAMWEBA ABATI MWAICE JONI ULUBULI TELO WATESHA
01-200929-221342_bem_fb0_elicit_20  JONI IYO MWE BAFYASHI ICO NOMBA TWALIFUMAMO KANO FYE NISHI UWANGUMAMO IKOFI WENA KUTI TWASHINGWANA NANKWE
01-200929-221342_bem_fb0_elicit_21  JONI NA BABIYE BATI BAPWE UKUNWA UBWALWA BWA CIBUKU BAFUMA MU CITENGE BALOLA KU MABOTOLO 
01-200929-221342_bem_fb0_elicit_22  JONI ATAMPA UKULOLESHA  MPANGA YONSE UKUTI AMONE JANET NGA NAISA KALE AFWAYA AFWAYA NAKALYA JANET TEWAKUMONEKA
01-200929-221342_bem_fb0_elicit_23  PAUL NAKABILI AYASHITA AMABOTOLO YA STAUTU MUTANDA 
01-200929-221342_bem_fb0_elicit_24  LILYA JONI NA ROBIN BALELOLESHA UMUNABO UULELETA AMABOTOLO NA JANET AFIKA 
01-200929-221342_bem_fb0_elicit_25  ATALA AIMININA PA MWINSHI ALALELOSHA MUKATI PAKUTI AMONE APEKELE JONI 
01-200929-221342_bem_fb0_elicit_26  AWE JONI AMUMONA AYAKO ULUBILO KU KUMUKUMANYA
01-200929-221342_bem_fb0_elicit_27  APO NISHI CIKASHANA JANET NAFWALA ICINA SALISBURY KU MENSO NASUBAKO PAUNDA UMBI NABIKAKO NA SANIGLASI ICO AKASUBA KALIBALIKISHE 
01-200929-221342_bem_fb0_elicit_28  PA KUPOSHA JONI ABALA  AFULAKO AMAGLASI
01-200929-221342_bem_fb0_elicit_29  BASHIPWA FYE UKUPOSHANYA 
01-200929-221342_bem_fb0_elicit_30  BAKUMBATANA BALAYA NA KU TEBULO UKO ASHILE ABABIYE 
01-200929-221342_bem_fb0_elicit_31  KUTI BALAFIKA PA TEBULO JONI ALALANGILILA JANET KU BABIYE ATI BANE UYU TULI NANKWE NI MISS JANET PHIRI CIBUSA WANDI
01-200929-221342_bem_fb0_elicit_32  LILYA JONI ASOSA AMASHIWI YA KUTI CIBUSA WANDI JANET ASEKA NO KUSEKA
01-200929-221342_bem_fb0_elicit_33  BONSE BAIKALA KU TEBULO BALANWA NO KUNWA
01-200929-221342_bem_fb0_elicit_34  JONI TACAMUTWELE KU KUNWESHA UBWALWA KABILI TALEFWAYA NA KUPOSESHA NDALAMA SHINGI KU KUSHITA UBWALWA 
