01-180101-213930_bem_d31_elicit_0  IMICITILE YA IFI TAYAYANA UKULINGANA NE NTAMBI NANGU BWINA KRISTU
01-180101-213930_bem_d31_elicit_1  IFIKOMO IFYO MWINGAKONKA IFYAKWAFWA ILYO MULEIKALA NABALUPWA ELYO NABAPONGOSHI
01-180101-213930_bem_d31_elicit_2  MULEIBUKISHA LYONSE UKUTI AMALEMBO YA KONKOMESHA ABANA UKUCINDIKA ABAFYASHI 
01-180101-213930_bem_d31_elicit_3  UBUCINDAMI NANGU UMUCINSHI TUPEELA KU BAFYASHIABAPONGOSHI BESU TAUFWILE UKUSHINTILILA PAFYO BABA NANGU PAFYO BAMONEKA 
01-180101-213930_bem_d31_elicit_4  ICIPINGO TACILANDA UKUTI KANOFYE ABAFYASHI ABASUMA EBALINGILE UKUCINDIKA 
01-180101-213930_bem_d31_elicit_5  INSHITA IYO LESA ATWEBA UKUKANABELA ABAFYASHI BESU NILYOFYE BALEFWA UKUTI TUCITE IFINTU IFISHILI BUFWAYO BWAKWA LESA 
01-180101-213930_bem_d31_elicit_6  PALI ICI CENA ABAUPANA BALINGILE UKULONDOLOLA MU MUTIMA NTEKA ELYO MUCINSHI MUCINSHI UMULANDU BASHILEBEELA NANGU UKUCITA IFYO ABAFYASHI BALEFWAYA
01-180101-213930_bem_d31_elicit_7  BAKANYENI UKULANDA AMALYASHI AYABI PA BENA MWENU NANGULA UKULALANDAPO ILYO TABALIPO 
01-180101-213930_bem_d31_elicit_8  AGA CAKUTI BAKOOSHAPO PA KUTI BAMYEBE PALWA BENA MYENU BALOMBENI UKUTI BALOLELE MPAKA ABENA MYENU BABEPO
01-180101-213930_bem_d31_elicit_9  LANGISHENI BALUPWA WENU IFYO MWATEMWISHA NOKUTASHA ABENA MYENU ELYO NABANA BENU 
01-180101-213930_bem_d31_elicit_10  UBWAFYA BWABA KUBAUPANA ABENGI BWAKUTI UMULUME ALATINA UKUCITA IFI 
01-180101-213930_bem_d31_elicit_11  PANTU BALUPWA KUTI BAMUPEELA UMULANDU WAKUTI BALIMWINGILILA KUMUKASHI NOMULANDU WAKUTEMWISHA UMUKASHI WAKWE UKUCILA ABALUPWA
01-180101-213930_bem_d31_elicit_12  PALI UYU MULANDU ABALUPWA KUTI BATILA ATI BALIBALISHA  ICILEPILIBULA ABAKASHI BALI LISHA NANGU UKUNWISHA ABALUME UMUTI PAKUTI BALEBOMFWILA
01-180101-213930_bem_d31_elicit_13  NINSHITA YABAUPANA UKUTENDEKA UKULANGA ICITEMWIKO CABO ELYO NAKUTASHA ABENA MYABO PALWALALA UKWABULA UKUSAKAMANA PAFYO BAMBI BALANDA 
01-180101-213930_bem_d31_elicit_14  NGACAKUTI ABANTU BALANDA UKUTI BALIBALISHA MUFWILE UKUSUMINA UKUTI BALINDISHA NA YESU 
01-180101-213930_bem_d31_elicit_15  MUCINEFYE EMULANDU WINE NAKWATILA ICITEMWIKO CONSE ICI PA MWINA MWANDI ELYO NABANA BANDI
01-180101-213930_bem_d31_elicit_16  UMULUME AFWILE UKUKOSELESHA BALUPWA WAKWE UKULAEBA UMUKASHI IFYO BALEKABILA ELYO MU MUSANGO UMO WINE 
