01-200930-154723_bem_fb0_elicit_0  ICIPANDE CA BUNE
01-200930-154723_bem_fb0_elicit_1  ILYO SATE AFIKA JONI AYAFOLA INDALAMA ATEMWA NGANSHI PA KUSANGA MAILO AKAYABUULA ICITUKUTUKU CAKWA MR VAN ERSEN
01-200930-154723_bem_fb0_elicit_2  PA KUBWELA KU NCITO BANALUME BALAMWIPUSHA ABATI WE MWAUME WE NGA ICITUKUTUKU WASOSELE UKUSHITA CILI KWI 
01-200930-154723_bem_fb0_elicit_3  AWE MWANDI MWE BALUMENDO BALELO MWABA NO BUFI NSHATALA MONA
01-200930-154723_bem_fb0_elicit_4  JONI ATI PEMBELENI MWACIMONA MAILO IMWE MUTILA NALIMEBEPA MWA
01-200930-154723_bem_fb0_elicit_5  MU CILOTO JONI KUTI ALELOTA FYE JANET NE CITUKUTUKU BWATILE BUSHICA AYASAMBA BWINIBWINO PA KUMONEKA UWASAMBILILA NGA AYA KU KUPOKA INDALAMA KU BANKI 
01-200930-154723_bem_fb0_elicit_6  CILYA AIKULA ABUULA NE COLA CAKWE ALAYA NA KU BANKI 
01-200930-154723_bem_fb0_elicit_7  ABA KU BANKI NABO BAYAMUBOMBELA FYE MU KWANGUFYANYA ALUNGAMA NA KWA VAN ERSEN NAO UUSHAILE KU NCITO UBO BUSHIKU ALELOLELA JONI WINE
01-200930-154723_bem_fb0_elicit_8  MR VAN ERSEN ALAMONA JONI ASANSAMUKA ATI WAISA LELO KU MAKWEBO YESU
01-200930-154723_bem_fb0_elicit_9  JONI AWE NIFYO FINE
01-200930-154723_bem_fb0_elicit_10  VAN ERSEN TULEYA PAKUBALA MU NGANDA TUPANGANE BWINOBWINO
01-200930-154723_bem_fb0_elicit_11  BAINGILA UMUSUNGU ATI NGA WAISA NA E EIGHTY ICITUKUTUKU WALASENDA NO KUSENDA ELYO ISHILESHALAKO WAKULAMPELA E FIVE CILA MWESHI MPAKA UKAPWISHE SHONSE 
01-200930-154723_bem_fb0_elicit_12  NGA WE MWINE ULEFWAYA UKUPWA BWANGU KUTI WALACISHAPO PALI E FIVE
01-200930-154723_bem_fb0_elicit_13  CILIA UMUSUNGU ATALALA JONI AISAFUMYA NA E EIGHTY MU COLA CAKWE AMUTAMBIKA 
01-200930-154723_bem_fb0_elicit_14  NAO ATALA APENDAMO PA KUSHINIKISHA NGA NASHIKUMANINA AWE CINECINE ASANGA NASHIKUMANINA SHONSE ATOTELA SANA
01-200930-154723_bem_fb0_elicit_15  ELYO ALAEBA JONI ATI ICI USHILAISHIBISHA KWENDA NALAKUBIKILAKO L PANTANSHI NA PANUMA E PAKULANGA UKUTI ULI MUSAMBI
01-200930-154723_bem_fb0_elicit_16  JONI AMWIPUSHA ATI BUSHE AMAFUTA YENA EMO YALI MU CITUKUTUKU
01-200930-154723_bem_fb0_elicit_17  MR VAN ERSEN ATI FYONSE IFIPE FYA CITUKUTUKU FILI FYE BWINO 
01-200930-154723_bem_fb0_elicit_18  AMAFUTA NAIL NAISUSHA ITANKI LELO LINE ULUCELO NE CITUKUTUKU CINE NABACISAMBA BWINO KULI BOI CIWEME NGANSHI
