03-200925-061220_bem_798_elicit_0  LELO IFWE TATWAMUKOKELELE
03-200925-061220_bem_798_elicit_1  NATUNINEKO IMITI IMBI
03-200925-061220_bem_798_elicit_2  ILYO BALENINA BAKUMANYA TWIGA  INDYABULUBA
03-200925-061220_bem_798_elicit_3  TWIGA NATUKWATA ILIPUSHO
03-200925-061220_bem_798_elicit_4  BUSHE WALISHIBA ICIBUMBWA ICENDA KU MULUNDU ELYO ICOWA MU MENSHI NA MENSO AYABULUNGANAKO PANONO NA KANWA AKAKULU UKUCILA IMFUBU 
03-200925-061220_bem_798_elicit_5  AMENO AYAATWA UKUCILA IMBWILI NO MUCILA UWAMAKA NGO MULEMBE WA NSOFU
03-200925-061220_bem_798_elicit_6  IYO NI NG'WENA TALUKENIKO KULI YENA 
03-200925-061220_bem_798_elicit_7  MULEIBUKISHA ULYA KOLWE IPAKA UWESHINA LYA KABOBA ALI
03-200925-061220_bem_798_elicit_8  AKUMENYE NG'WENA ELYO
03-200925-061220_bem_798_elicit_9  AISHILEBA ICAKULYA CAKUIPAKISHA ING'WENA KA
03-200925-061220_bem_798_elicit_10  IFYA KULANDA NO KULANDA IFYO
03-200925-061220_bem_798_elicit_11  WABIPAFYE NGA BAYAMA BA NYANI
03-200925-061220_bem_798_elicit_12  TATWACETEKELA MU NG'WENA
03-200925-061220_bem_798_elicit_13  AKWABA ICINTU ICITWA ING'WENA
03-200925-061220_bem_798_elicit_14  LYO BALETOLAUKA ICULU BAKUMENYE BOOHOO IMFUBU
03-200925-061220_bem_798_elicit_15  CAMUCINSHI UKULOLELA MPAKA APWISHA
03-200925-061220_bem_798_elicit_16  ELYO UMWIPUSHE
03-200925-061220_bem_798_elicit_17  OOHOO WALISHIBA PALWA MIMANA
03-200925-061220_bem_798_elicit_18  NI CINSHI ICAKWATA AKANWA AKAKULU NGA KOBE AMENO AYAATWA UKUCILA IMBWILI AMENSO AYABULUNGANAKO NGO LUSATO NO MUCILA UWAMAKA UKUCILA INSOFU
03-200925-061220_bem_798_elicit_19  EHH BULONDOLOSHI BUSUMA PA NG'WENA ICIBUMBWA ICIBI ICAKUTINISHA MAKA MAKA KULI BAKOLWE
03-200925-061220_bem_798_elicit_20  OH IMPUKU SHABOLA NATULEYA
03-200925-061220_bem_798_elicit_21  ATWASUMINA MU NG'WENA 
03-200925-061220_bem_798_elicit_22  TAKWABA IFYO FINTU
03-200925-061220_bem_798_elicit_23  ER  CISUMA MWIKATILA NSHAMYEBELE
03-200925-061220_bem_798_elicit_24  UBUPUMBU PA MUKOTE BOOHOO
03-200925-061220_bem_798_elicit_25  ICITWE UBUKULU LELO TAYAFULAMO
03-200925-061220_bem_798_elicit_26  CIMBWI EKALA PALWA
03-200925-061220_bem_798_elicit_27  NATUMWIPUSHE 
03-200925-061220_bem_798_elicit_28  CIMBWI ENA ALI NI NCENJESHI KABILI UWAKONGOLA ELYO UWATUMPA
03-200925-061220_bem_798_elicit_29  YOOHOO MBISI ULI PA NG'ANDA
03-200925-061220_bem_798_elicit_30  HE HE MBAFYE PA NG'ANDA KULI TUKOLWE 
03-200925-061220_bem_798_elicit_31  MBISI WALISHIBA CINSHI CILYA
03-200925-061220_bem_798_elicit_32  BUSHE WALICISHIBA ICISWANGO ICIKULU ICIITWA ING'WENA ICIIKALA KUMUMANA ELYO CILALYA BAKOLWE
03-200925-061220_bem_798_elicit_33  NATWEBWA NA PANSHI PATALALA IFYO INGATUCITA
03-200925-061220_bem_798_elicit_34  TABALEFWAYAFYE IMWE UKUMONA IFYO MWINGAMONEKA BWINO MUMENSHI AYALENGAMA
03-200925-061220_bem_798_elicit_35  HEHEHE KULYA KULULAMBA LWA MUMANA NI NCENDE IISUMA IYACIMWEMWE
03-200925-061220_bem_798_elicit_36  INSANSA ISHINGI ISHINGABA KULI IMWE BABILI KWISAMBA KULYA
03-200925-061220_bem_798_elicit_37  BUSHE BAMWEBELE UKUTI ING'WENA YAKWATA AMENO AYAATWA
03-200925-061220_bem_798_elicit_38  EE NIFYO FINE WAISHIBA SHANI
03-200925-061220_bem_798_elicit_39  ELYO AKANWA AKAKALAMBA
03-200925-061220_bem_798_elicit_40  EE NIFYO NABASOSA NABATWEBA
03-200925-061220_bem_798_elicit_41  BUSHE UMUCILA BATILE WAMAKA UKUCILA UMULEMBE WA NSOFU
03-200925-061220_bem_798_elicit_42  IFYO EFYO BATWEBELE ELYO NAFIMBIPO
03-200925-061220_bem_798_elicit_43  HE HE HE LYAUMFWIKA NGE LYANSHI ILISUMA ILITALI TEFYO
03-200925-061220_bem_798_elicit_44  ICISWANGO KA BAKOLWE ABACENJELA NGA IMWE TABASUMINA MU NG'WENA BUSHE MWALISUMINA
03-200925-061220_bem_798_elicit_45  KULI BAMUNYINA NE NKASHI
03-200925-061220_bem_798_elicit_46  NATULEYA LET'S GO CITABO CA MUNTU UULI ONSE
