02-200915-230337_bem_197_elicit_0  IMFUMU LYONSE IBAFYE IYALUNGAMA
02-200915-230337_bem_197_elicit_1  ILYO ULETUNGULULA UIPEKANYE NAKULI FYONSE UMUCINSHI ELYO NEFYAKOSA
02-200915-230337_bem_197_elicit_2  TEKWESHA KULEKELA BABIYO BAKUTUNGULWILE UBUFUMU KUTI BAKUFULUNGANISHISHA
02-200915-230337_bem_197_elicit_3  NGA UEFWAYA BAKUCINDIKE UFWILE WAKWATA IMISANGO IISUMA
02-200915-230337_bem_197_elicit_4  UMUNTU UUITUNGA UKUBA UMUKANKALA NANGU IMFUMU ELYO NINSHI TEWAKUBUFUMU
02-200915-230337_bem_197_elicit_5  ILYO CIMO CAKUKALIPA UFWILE UKUTEKANYA PANTU KUTI WAISAISEKA PANUMA YAKULUFYANYA
02-200915-230337_bem_197_elicit_6  BULUPWA BWA CUPO TABUPWA NANGUFYE MWINGALEKANA
02-200915-230337_bem_197_elicit_7  PAKWIKALA BWINO NABENABUKO UFWILE WATONTONKANYA SANA ILYO TAULACITA ICABIPA KULI BENA
02-200915-230337_bem_197_elicit_8  UFWILE UKUCINDIKA NOKUTANGATA ABENABUKO LELO WICILA MUCIPIMO KUTI WAFWAFYE MUKULWISHA ATI BAKUTASHE
02-200915-230337_bem_197_elicit_9  FYONSE IFYO WAPOSA KU BUKO TEKUTI UFIBWESHE NGA CAKUTI FIMO FYALUBANA MWALEKANA NO MUKASHI OBE
02-200915-230337_bem_197_elicit_10  TACAYANGUKA UKUSEKESHA ABENABUKOKUTI WAFWAPOFYE MUKULWISHA UKUTI BAKUTASHE
02-200915-230337_bem_197_elicit_11  NGA ULEFWAYA UKUPUSUKA KU MFULA UFWILE WAKWATA ULUBILO PAKUTI WAYAUBA
02-200915-230337_bem_197_elicit_12  UMWANA UUCILI MUNUMA YABANYINA BUSHIKU BUMO EWINGESA AFWILISHA ABAFYASHI BAKWE
02-200915-230337_bem_197_elicit_13  UMWANA WA MUBIYO TEKUTI AKUMFWE NANGU CAKUTI ULEMUFUNDA FYE IFISUMA
02-200915-230337_bem_197_elicit_14  KUTI WAFUNDA UMWANA UKUBOMFYA UBWEMBYA LELO NGAWACILAMO KUTI CAKUTWALA KU CIFUNGO
02-200915-230337_bem_197_elicit_15  AMAKA YABANAKASHI YALAPELELA MUKUBOMBA IMILIMO IMO IMO
02-200915-230337_bem_197_elicit_16  WITENDWA BWANGU UKUCITA ICISUMA UKASUKA AUFIKILISHA
02-200915-230337_bem_197_elicit_17  PAKUBOMBA BWINO KANO ULI UMUTENDE
02-200915-230337_bem_197_elicit_19  TEKUTI UBELAME NGACAKUTI ULI WA MANO BAKAKWISHIBA
02-200915-230337_bem_197_elicit_20  UMUNTU UWAKWATA ULUPWA ULUKULU NINSHI MUKULU
02-200915-230337_bem_197_elicit_21  UCENJELE KUBALEKUBELELEKA BAKAKUPWILA IFYO WAKWATA NOKUKUSHA BAKAUSHE WEKA
02-200915-230337_bem_197_elicit_22  WICETEKELA ABABIYO UKUKULWISHISHA UBWIKALO
02-200915-230337_bem_197_elicit_23  MULELIPILA BWANGU INKONGOLE PAKUTI BELAMITWALA KU FILYE
02-200915-230337_bem_197_elicit_24  PONSE APO WASHUKILA IFISUMA PALAKABILWA UKUBWELELAPO PANTU LIMBI KUTI WA SHUKA NAKABILI
