01-180101-223427_bem_d31_elicit_0  CAKOSHAFYE PA KUBILA IMBILA NSUMA
01-180101-223427_bem_d31_elicit_1  BUSHE PAMO NGE FILONGANINO FYA ABENA KRISTU TWALIKWATAPO AMAKA YA KUCITAPO CIMO PALWA UBO BWAFYA
01-180101-223427_bem_d31_elicit_2  NI CINSHI
01-180101-223427_bem_d31_elicit_3  ICILONGANINO CIFWILE CABILA ICEBO IMBALI SHONSE ISHAKUMA UMUNTU 
01-180101-223427_bem_d31_elicit_4  TULINGILE TWALOLESHA PALI BUMUNTU BONSE NOKWESHA UKUFIKILISHA IFYAKUKABILA FYAKWE UKUPITILA MUKUBOMFYA IFINTU FYONSE IFYO TWAKWATA
01-180101-223427_bem_d31_elicit_5  CAUMFWIKA KWATI KULI FINTU IFINGI FYA KUCITA
01-180101-223427_bem_d31_elicit_6  MUSANGO NSHI IBUMBA LYA BATETEKELA LINGATENDEKELAMO UKUBOMBA UMULIMO UO LESA APEELA NANGULA PANONO PANONO
01-180101-223427_bem_d31_elicit_7  ICILONGANINO CILEKABILWA UKUTENDEKA UKUBOMFYA BWINO INDALAMA IFYUMA NA MAKA 
01-180101-223427_bem_d31_elicit_8  FYONSE IFYO CAKWATA MU KWAFWILISHA ABANTU MU MIKALILE YABO KU MUBILI ELYO NA KU MUPASHI
01-180101-223427_bem_d31_elicit_9  KABILI TULI NO KULOLEKESHA PA KUKANSHA KWA BABOMFI NA BAMEMBALA ABAPELELWA ELYO NE CILONGANINO ICINE
01-180101-223427_bem_d31_elicit_10  BANA MARTHA KUNDA BALYUPWA NA BANA BATATU ABA MYAKA SEVENTEEN TO TWENTY
01-180101-223427_bem_d31_elicit_11  BAKULILE KU LUSAKA NA KU MIKOTI 
01-180101-223427_bem_d31_elicit_12  MU ZAMBIA MULEKABILWA ABENA KRISTU ABAISHIBA UKULEMBA
01-180101-223427_bem_d31_elicit_13  NGA CAKUTILA MWALIFYALWA CIPYACIPYA MULAKONKA AMAFUNDE YAKWA KRISTU MU BWIKASHI BWENU CILA BUSHIKU
01-180101-223427_bem_d31_elicit_14  KABILI MWALIIBIMBA MU CILONGANINO CENU ICI NACIMIKUMA
01-180101-223427_bem_d31_elicit_15  UKUKANSHA KWA BAKALEMBA
01-180101-223427_bem_d31_elicit_16  KULI ABO ABALEFWAYA UKWILAKO PANTANSHI MULI UYO MULIMO TULEPELA INTAMPULO SHIBILI ISHA MASAMBILILO
01-180101-223427_bem_d31_elicit_17  INSHIKU SHIBILI SHA WORKSHOP MU LUAPULA NORTHERN PROVINCE NA COPPERBELT MU MAY NA JUNE TWENTY TEN KULI UYO ONSE UULEFWAYA KABILI UKWANISHE IFINTU IFILI PA MULU
01-180101-223427_bem_d31_elicit_18  UMUTENGO TWENTY THOUSAND KWACHA IFYAKULYA NA MAPEPALA 
01-180101-223427_bem_d31_elicit_19  NGA MULEFWAYA UKWISHIBILAPO IFINGI TUMENI KAMUSANGE KULI BA EDITOR PA NAMBALA ZERO NINE SEVEN NINE FIFTY NINE ONE THOUSAND
01-180101-223427_bem_d31_elicit_20  ABAKACITA BWINO MULI AYA MAWORKSHOP BAKETWA MU KULUNDAPO AMASAMBILILO MU SEPTEMBER TWENTY TEN
01-180101-223427_bem_d31_elicit_21  UMWANA WA KU MUSHI UULEBOMFESHIWA NA LESA
01-180101-223427_bem_d31_elicit_22  INTUNGULUSHI IMO IYA MAKA KABILI IYA PEELWA UMUCINSHI MU FYALO NA PAKATI KA BAMINSHONI MUNTU UWESHINA LYA ROCHUNGA PUDAITE 
01-180101-223427_bem_d31_elicit_23  UYO IMIBOMBELE YAKWE YAMONEKELA NA MUKWALULA KWA CIPINGO MU LULIMI LUMBI ELYO NO KUCISABANKANYA 
01-180101-223427_bem_d31_elicit_24  PAMULANDU WA KUIPEELESHA MU KUBOMBELA UMUTUNDU WAKWE UWITWA HMAR ELYO NOKULETA IMBILA NSUMA KWISONDE 
01-180101-223427_bem_d31_elicit_25  CAMULENGELE UKWENDA UBULENDO UBWAYAFYA KABILI UBWAKUTOMPOLA UKUFUMA PA KAMUSHI AKA MU MAWANGA AKALI PAKATI KAKAPINDA KA KUKULYO ELYO NA KABANGA MU INDIA UKUYA KU WHEATON ILLINOISE 
01-180101-223427_bem_d31_elicit_26  APO APALI MINSHONI YAKWE IITWA BIBLES FOR THE WORLD APA EPA HEADQUARTERS YA IKO 
01-180101-223427_bem_d31_elicit_27  ILYASHI LYA PALI ENA LYASHI ILISUMA KABILI ILYO MWINGALABELENGAPO LYASHI ILYO NALIMO ILINGALUNDWA KU MPELA YA MILIMO YA BATUMWA
01-180101-223427_bem_d31_elicit_28  RO PUNDAITE AFYALILWE MU SENVON UMUSHI WABA MU INDIA MU MUSUMBA WA MANIPUR MUPEPI NO MUPAKA WA BEURMESE
01-180101-223427_bem_d31_elicit_29  YALI NI NCENDE IYALI UKUTALI NGANSHI NO WALEIMININAKO UBUTEKO MU MUSUMBA WA NEW DELHI ICAKUTI TAISHIBE NAKALYA 
01-180101-223427_bem_d31_elicit_30  ELYO NO BUTEKO TABWAKUULILEKO ISUKULU NELYO CIKUULWA ICILI CONSE
01-180101-223427_bem_d31_elicit_31  KANOFYE ILYO RO ATULILE UYU MULANDU KU BUTEKO BWA NEHRU
01-180101-223427_bem_d31_elicit_32  IFYO ALEIBUKISHAPO PA FYACITIKE KALE FYAKUTILA 
01-180101-223427_bem_d31_elicit_33  ILYO ALI NE MYAKA YAKUFYALWA ISANO FIVE 
01-180101-223427_bem_d31_elicit_34  FYAKUBATAMFYA PA MUSHI UMOFYE UO AISHIBE UKUTI EWALIFYE NA BENAMUPALAMANO 
01-180101-223427_bem_d31_elicit_35  PANUMA YA KUBATAMFYA BAENDELE INSHIKU SHITATU UKUYA PA MUSHI UMBI 
01-180101-223427_bem_d31_elicit_36  ICI CACITIKE MU MWAKA WA NINETEEN THIRTY TWO 
01-180101-223427_bem_d31_elicit_37  BANYINA BALILWELE IFIBUSA NO NA BALUPWA BALEILISHANYA LELO BAWISHI TEKUTI BATENTUKE 
01-180101-223427_bem_d31_elicit_38  LESA ALEBETA 
01-180101-223427_bem_d31_elicit_39  TACALI ICAYANGUKA UKUFUMA MUKUCINGILILWA UKO BAISHIBE NGA BASHIMAPEPO BA CILONGANINO ICASHIMPILWE MU MUSHI LELO BAUMFWILE UKUTI BALINGILEFYE UKUYA
01-180101-223427_bem_d31_elicit_40  NI NANI UMBI UKATWALA IMBILA NSUMA KU PHULPUI NGA CAKUTILA TABELE
01-180101-223427_bem_d31_elicit_41  NANGULA TABAFIKILEPO MU MASAMBILILO BA CHAWNGA BALI NI BAKASHIMIKA ABAMAKA KABILI ABALINGA BWINO BWINO MU MULIMO WAKUSALANGANYA IMBILA MU NCENDE ISHAKUTALI 
01-180101-223427_bem_d31_elicit_42  MU MYESHIFYE IYAKUPENDA BALIKWETE IBUMBA LYA BANTU ILYALINGA 
01-180101-223427_bem_d31_elicit_43  ELYO KABILI BALEYA MU MISHI IYASHINGULWIKE NOKULANDA PA MBILA YA MU CIPINGO MU NSHILA IYAYANGUKA KONSE UKO BALEYA
01-180101-223427_bem_d31_elicit_44  BA CHAWNGA BAISHILEBA ABENA KRISTU NINSHI BALI NE MYAKA YAKUFYALWA IKUMI LIMO NA ISANO FIFTEEN UKUPITILA MU BUPYUNGISHI BWA MINSHONI WATKIN ROBERTS 
01-180101-223427_bem_d31_elicit_45  UWAFUMINE KU CALO CA WALES UYO BAPUTUKISHE INSHIKU SHAKWIKALA MU SENVON ILYO ABAKALAMBA BABUTEKO BAMWEBELE UKUYA 
01-180101-223427_bem_d31_elicit_46  NECI CALI LITENTUKA KU MULUMENDO CHAWNGA LELO PA KASHITAFYE AKANONO ASANGILE UMUTI KU BWAFYA BULYA 
