04-201005-204642_bem_40e_elicit_0  MULENGA WA MPANGA
04-201005-204642_bem_40e_elicit_1  KALE ILYO NALI UMWAICE UWA MYAKA IKUMI LIMO ABAKALAMBA BALESHIMIKA LIBILILIBILI PA NSAKA UMULANDU WAKWA MULENGA WA MPANGA PAMO NO MULANDU WAKWA NAKAOMA
04-201005-204642_bem_40e_elicit_2  LELO PA KUSHIMIKA TABALELONDOLOLA UKUTI IMILANDU YA KUTI YALOLA KULI MULENGA NE YA MUSANGO UYU NAYO YALOLA KULI NAKAOMA 
04-201005-204642_bem_40e_elicit_3  LELO INE CALENKALIPA SANA PA KUMFWA IFYO UKULANDA KWABO TAKWALELEMBWA 
04-201005-204642_bem_40e_elicit_4  ABA BENE BAKALAMBA BALESOSA ABATI MULENGA TAKAFWE PANTU LESA ALIMULEMBA ICISHIBILE ICAKUKANAIPAIWA
04-201005-204642_bem_40e_elicit_5  E KUTILA BALETUNGANYA KAINO MWANA ADAM 
04-201005-204642_bem_40e_elicit_6  KANSHI IMILANDU II YONSE KU MANO YANDI YALENANGULUSHA PA KUMONA ABALESHIMIKA BALI ABAKOTE NATI IKALABWA NGA BAFWA 
04-201005-204642_bem_40e_elicit_7  UKULEMBA NAKO NSHAISHIBE 
04-201005-204642_bem_40e_elicit_8  NOMBA APO NAISHIBA UKULEMBA NALASHIMIKA NA INE KULI IMWE
04-201005-204642_bem_40e_elicit_9  NINE DANIEL CHOLA MUSATWE
04-201005-204642_bem_40e_elicit_10  MULENGA AFUMA KWI
04-201005-204642_bem_40e_elicit_11  IFYO MULENGA ALEPEPA
04-201005-204642_bem_40e_elicit_12  MULENGA APUSUSHA ABANTU MU BUTA 
04-201005-204642_bem_40e_elicit_13  MULENGA AFWA
04-201005-204642_bem_40e_elicit_14  MULENGA ABUKA MU MUPASHI 
04-201005-204642_bem_40e_elicit_15  IFYENDA MULENGA MU MPANGA
04-201005-204642_bem_40e_elicit_16  ABANTU BALYA INAMA SHAKWA MULENGA
04-201005-204642_bem_40e_elicit_17  MULENGA IFYO ENGILA MU YNANDA YA MUNTU
04-201005-204642_bem_40e_elicit_18  APAFUMINE UKWINIKA ISHINA LYA MULENGA
04-201005-204642_bem_40e_elicit_19  APAFUMINE UKUTI MULENGA AKULYE
04-201005-204642_bem_40e_elicit_20  UMUNTU ASENDWA NA MULENGA
04-201005-204642_bem_40e_elicit_21  MULENGA PALI MUSONDAWETANDWE
