04-201008-153522_bem_40e_elicit_0  MULENGA ABUKA MU MUPASHI
04-201008-153522_bem_40e_elicit_1  ISHAMFUMU NA BANTU BASHIKO BASENDA NE FILYO FYAKWA MULENGA
04-201008-153522_bem_40e_elicit_2  FIMO BAYABYALA FIMBI BALALYA 
04-201008-153522_bem_40e_elicit_3  ICO FISHASALWILE FYAMENA ABANTU BAPUSUKA KU NSALA
04-201008-153522_bem_40e_elicit_4  NOMBA BALABA UKUTI MU CALO MWAHA IFINTU IFINGI MWABA IFIMONEKA NE FISHIMONEKA KU MENSO 
04-201008-153522_bem_40e_elicit_5  IFIMONEKA FYABA PABILI KULI IFIMONEKA PE NE FIMONEKA LIMOLIMO EICO TUTILA 'VISIBILIUM ET INVISIBILIUM'
04-201008-153522_bem_40e_elicit_6  KANSHI MULENGA ILYO AFWILE ILYO BAMWIPEYE ALIFUMINE MY CIPANDE CA FIMONEKA ABA MU CIPANDE CA FISHIMONEKA 
04-201008-153522_bem_40e_elicit_7  LELO E MU CIPANDE CA FILYA IFIMONEKA LIMOLIMO KABILI UKUMONEKELA UMOUMO 
04-201008-153522_bem_40e_elicit_8  AKA KAPANDE KABA AKAYAFYA UKUSUMINA NAKO KUNTU KWAYAFYA
04-201008-153522_bem_40e_elicit_9  BALABIKA SANA IFIKANSA UMUNTU NGA ASOSA ATI NIMONA CAKUTI 
04-201008-153522_bem_40e_elicit_10  BALASOSA ATI BUFI KANO NEFWE TUMONE NGA TUSUMINE
04-201008-153522_bem_40e_elicit_11  ABANGELI TABAMONEKA LELO LIMOLIMO BALAMONEKA 
04-201008-153522_bem_40e_elicit_12  UMUNGELI RAPHAEL AMONEKELE TOBI NO MUNGELI GABRIEL AMONEKELE MAMA MARIA 
04-201008-153522_bem_40e_elicit_13  KANSHI ABA BANGELI BALETULANGA UKUTI IFISHIMONEKA FYABA PABILI 
04-201008-153522_bem_40e_elicit_14  KULI IFIMONEKA LIMOLIMO KULI BAMOBAMO MU MYAKA MU MYAKA 
04-201008-153522_bem_40e_elicit_15  ABANTU ABENGI TABASUMINA IFIKANSA FYALIFULISHA 
04-201008-153522_bem_40e_elicit_16  KWENA NANGU UMUNTU AKANE SHANI AICUSHA FYE 
04-201008-153522_bem_40e_elicit_17  ICAMONEKA NINSHI NACIMONE KABILI NE CAMONEKA CINE BALACIPELA NE SHINA 
04-201008-153522_bem_40e_elicit_18  KANSHI TAKWABA ICINTU ICO BAPELA ISHINA ICISHABAKO
04-201008-153522_bem_40e_elicit_19  MULENGA NAO EKO ABA NOMBA TABELA MU MUSANGO ULYA ABELELEMO ACILI MU BUMI IYOO KABILI NAMUMFWA KALE UKUTI ALIFWILE ILYO BAMWIPEYE 
04-201008-153522_bem_40e_elicit_20  NOMBA ABA NA ULYA MUBILI USHIKATWA ULYA MWANA LESA CHRISTU ASOSELE ATI UMULUNGULWA TAWABA NA MUBILI UWIKATWA NA MAFUPA TAWAKWATA 
04-201008-153522_bem_40e_elicit_21  ASOSELE IFI ILYO ALEMONEKELA ABASOLE BAKWE ILYO ASHUKWIKE ABEBELE NO KUTI BAMWIKATE PAKUTI BASHININKISHE UKUTI ENA ALI NO MUBILI WA BUMUNTU 
04-201008-153522_bem_40e_elicit_22  CINECINE CHRISTU ENA ALI NO MUBILI WA CINECINE ULYA BAMUSHIKILE NAO NOMBA WALI USUMA UWABEEKA UWAYANGUKA UUCINDAMI SANA 
04-201008-153522_bem_40e_elicit_23  NOMBA ULYA MUBILI AKENE UWA BULUNGULWA E ULYA WABA NA MULENGA WA MPANGA
04-201008-153522_bem_40e_elicit_24  UYU MUBILI WAKWE TAWIKATWA NANGU KULI CIMO
04-201008-153522_bem_40e_elicit_25  NGA NUISALA INANDA ENA KUTI APITA APABULA AKAPUNDA 
04-201008-153522_bem_40e_elicit_26  NANGU ABA IFI TABA NGA MFUMU YESU CHRISTU  
04-201008-153522_bem_40e_elicit_27  WENA NANGU AINGILE MU SENACULO UKUPITILA PA KAPUNDA ILYO AMONEKELE ABASOLE BAKWE MU NG'ANDA LELO WENA ALEKATWA 
04-201008-153522_bem_40e_elicit_28  NGEFYO AEBELE TOMA ATI PISHA IMINWE MU FILASO FYANDI 
04-201008-153522_bem_40e_elicit_29  KANSHI UMUBILI WAKWA MULENGA UMBI FYE 
04-201008-153522_bem_40e_elicit_30  KANSHI TUTILE NOMBA UMUNTU ABA CIMBICIMBI FYE TE MUNTU
