01-200918-110012_bem_d31_elicit_0  NA CIMBI CINTU ICIFWAIKWA PA KUTEYANYE MILIMO YA MISEPELA KUPATANKANYAMO IFYAKUCITA IFINGI 
01-200918-110012_bem_d31_elicit_1  IMISEPELA TAYATEMWA UKUCITE CINTU CIMO CINE LYONSE LINTU BALONGANA
01-200918-110012_bem_d31_elicit_2  BALATENDWA MU KWANGUFYANYA 
01-200918-110012_bem_d31_elicit_3  INTUNGULUSHI SHA MISEPELA SHALINGO 
01-200918-110012_bem_d31_elicit_4  IFINTU FIMO IFINGALINGO KUBIKA MU KUTEYAYE MILIMO YA MISEPELA NIFI UKUSAMBILILE CIPINGO
01-200918-110012_bem_d31_elicit_5  NALIMO KUTI CAWAMA UKUBELENGE CIPUTULWA CA MALEMBO NANGU MUTWE WE SAMBILILO NELYO MWEO WA MUNTU UMO MU CIPINGO  
01-200918-110012_bem_d31_elicit_6  KUTI CAWAMA UKUTEYANYA MEPUSHO NELYO KUBOMFYE CITABO ICALEMBWAMO AMEPUSHO 
01-200918-110012_bem_d31_elicit_7  PAKUTI MISEPELA IKWATE AKAKONKELELO CIKANKALA KU NTUNGULUSHI UKUBASAMBILISHO MUSANGO WAKUKONKA PAKUTUNGULULA MU MABUMBA AYANONO
01-200918-110012_bem_d31_elicit_8  UKWIPUSHANYA MEPUSHO
01-200918-110012_bem_d31_elicit_9  ICIKALAMBA MULI UYU MUSANGO WA KUSAMBILILA KWA MISEPELA KWISHIBA PAPELELE AMANO YABO
01-200918-110012_bem_d31_elicit_10  NALIMO AMEPUSHO KUTI YAFUMA MWI SAMBILILO LIMO NELYO MUMASAMBILILO AYAPITA PANSHITA IYALINGA 
01-200918-110012_bem_d31_elicit_11  KWALIBA NA MEPUSHO AYALEMBELWA LIBELA MUFITABO
01-200918-110012_bem_d31_elicit_12  KWALIBE FINTU IFYO IMISEPELA IFILWO KUMFWIKISHA 
01-200918-110012_bem_d31_elicit_13  MU KUTEKANYA INTUNGULUSHI KUTI SHATEYANYO KULANSHANYA KWA MISEPELA PALI IFI FINTU
01-200918-110012_bem_d31_elicit_14  KABILI CINTU CIKANKALA UKUSUMINISHA UMUNTU UMO UWAISHIBA UKUBIKA PAMO UKULANSHANYA KONSE 
01-200918-110012_bem_d31_elicit_15  CINTU ICISUMA UKUTUNGULULA BWINO UKU KULANSHANYA
01-200918-110012_bem_d31_elicit_16  ICINTU CIMBI ICO IMISEPELA ILINGILE UKUSAMBILILA MAPEPO 
01-200918-110012_bem_d31_elicit_17  NELYO KULABE NSHITA SHA MAPEPO PA LUKUTA CILI CIKANKALA UKUTI MISEPELA ILEKWATE NSHITA NA IMBI IYAKULANDA NA SHIKULU SHIBO WA MU MULU
01-200918-110012_bem_d31_elicit_18  IYI NI NSHITA ILINTU IMISEPELA BENGAKWATA CILA MUNTU MU KASHITA KAKWE UKULONDOLOLA PAMULANDU WA FINTU AISHIBA 
01-200918-110012_bem_d31_elicit_19  NALIMO LWIMBO NANGU ICIPUTULWA CA MALEMBO NANGU AKASELA NELYO UBUNTE PA MULANDU WA FINTU LESA ALECITA MU MYEO YABO
01-200918-110012_bem_d31_elicit_20  IMILIMO YA MISEPELA ILINGILE YAKWATA UYU MUSANGO WA KUTANDALILA BANTU ABABA MU KUKABILA PAMO NGA BALELWALA ABAKALAMBA ABALELOSHA NELYO ABALEPITA MU MAFYA
01-200918-110012_bem_d31_elicit_21  IMISEPELA YALINGO KWISHIBE FYO ICITETEKELO CIFWILE UKUKWATE MILIMO ISUMA
01-200918-110012_bem_d31_elicit_22  IBUMBA LYA MISEPELA LIMO KUTI LYATEMWA UKUTANDALILE BUMBA LIMBI MU MUSUMBA UMBI
01-200918-110012_bem_d31_elicit_23  NALIMO KUTI BATEMWA UKUMONA ICIFULO CIMO PANSHITA IYALINGA 
01-200918-110012_bem_d31_elicit_24  KULI FINTU FIMO IFINGAFWAIKWA UKUTEYANISHIWA PAMO NGE MYENDELE IFYAKULYA NE FYAKUCITA MU BUTANDASHI
01-200918-110012_bem_d31_elicit_25  CINTU ICIKANKALA UKUKOSELESHE MISEPELA MU MULIMO WA KUBILE MBILA NSUMA 
01-200918-110012_bem_d31_elicit_26  KUTI CABOMBEKA UKUPITILA MU KUBATUMA BABILI BABILI EKUTILA UWAKOKOLA MU CITETEKELO NO MUTEKU
01-200918-110012_bem_d31_elicit_27  IBUMBA LYA MISEPELA KUTI LYAITA BENA KRISTU ABAISHIBO MUTWE WE SAMBILILO ILINTU BASALILE 
01-200918-110012_bem_d31_elicit_28  NALIMO KUTI BAITA BANTU ABAUPANA UKWISALONDOLOLA PAMULANDU WA MUMFWANO WA BALUMENDO NA BAKASHANA
01-200918-110012_bem_d31_elicit_29  KUTI BATEMWA UKWITA UMUNTU UO BENGAFWAYA UKWIPUSHA MEPUSHO 
01-200918-110012_bem_d31_elicit_30  PAMO NGO MUBOMFI WAKWA LESA NELYO MWINA KRISTU UWABA MU FIKANSA FYA CALO 
01-200918-110012_bem_d31_elicit_31  SHIMAKWEBO NELYO KAPINGULA WA MILANDU
01-200918-110012_bem_d31_elicit_32  MAGAZINE MUSUMA AKABILA IFIKOPE NEFILANGILILO IFISUMA
01-200918-110012_bem_d31_elicit_33  BAKABELENGA BALEKABILA UKULENGA BAFWAISHA UKWISHIBA IFILI MWILYASHI UKUPITILA MUFYO BAMONA 
01-200918-110012_bem_d31_elicit_34  NANGU UBUPILIBULO BWE SAMBILILO BULEFWAIKWA UKWENDELAPAMO NE CIKOPE ICISUMA ICILEPELA UBULONDOLOSHI 
01-200918-110012_bem_d31_elicit_35  EICO TULEFWAYA BAKALENGA ICANTANSHI PALI FYONSE NI ABO BENGALENGA ICIKOPE ICINGA PULITWA MWILANGI LIMO
