01-180101-023953_bem_d31_elicit_0  TWAISHIBO KUTI BONSE ABASOSA ICINE KU BANTU BALAPAKASWA
01-180101-023953_bem_d31_elicit_1  PANTU TWAMONA KULI ISAAC PA KWISULA NO KWIMBA IFISHIMA IFIPYA ALIPAKESWE SANA 
01-180101-023953_bem_d31_elicit_2  NA SHIKULU YESU CILOLO WA MUTENDE NAO ICALO TACAMUSUMINISHE UKUTI ACITE UMUTENDE MULI BENE
01-180101-023953_bem_d31_elicit_3  NA YEREMIA EFYO BAMUCITILE ECO KONSE UKO UKUPUPUTULWA KULEYA TAKUBA MUTENDE KU BABOMFI BAKWA LESA 
01-180101-023953_bem_d31_elicit_4  ICILANGILILO NICI UMULONGA WA MENSHI AYASUMA NGA WAWILA MU YASAMPA NAYO YAKASAMPA 
01-180101-023953_bem_d31_elicit_5  EFYO NA PAULO ACULILE MU ATENA PA KUSOSE FYEBO IFIPYA
01-180101-023953_bem_d31_elicit_6  NGA TWAIKALILILA MU KUKANSANA NINSHI TETI TWIMBE NA FIMBI IFISHIMA ELYO NE FYAIMBWA AKALE NA FYO FILEFWA 
01-180101-023953_bem_d31_elicit_7  PANTU SATANA ALEESHA NA MAKA SANA UKUKOSHA IMILANDU INONO PAKUTI IFILONGANINO FILABIKILWE MU KUKANSANA UKUCILA UKUYA KU NTANSHI 
01-180101-023953_bem_d31_elicit_8  E MULANDU WINE NE FILONGANINO IFINGI FILEFILILWA UKUSANGWA MU KULONGANA 
01-180101-023953_bem_d31_elicit_9  TWILABO KUTI ABENA GERARI ABAKULWA NA IFWE TULI NABO PE
01-180101-023953_bem_d31_elicit_10  NATUCITE UMUTENDE
01-180101-023953_bem_d31_elicit_11  APA TWAUMFWA IFYO ISAAC ACITILE UMUTENDE PA KUFUMA KU BANTU BA FIKANSA NO LUBULI 
01-180101-023953_bem_d31_elicit_12  EFYO CALI NA KULI WISHI ABRAHAMU 
01-180101-023953_bem_d31_elicit_13  BALILEKENE NA LOTI PA MULANDU NO LUBULI LWA BACEMI UKUTENDEKA THIRTEEN SIX UKUFIKA KU NINE 
01-180101-023953_bem_d31_elicit_14  ECO ABA BANTU BATAMFISHE ISAAC MU MIPAKA YABO UKUTENDEKA TWENTY SIX VERSE SIXTEEN 
01-180101-023953_bem_d31_elicit_15  EFYO NA BENA GADARA BATAMFISHE YESU MU MIPAKA YABO ILYO AFUMISHE IFIWA MU BANTU MATEO EIGHT TWENTY EIGHT UKUFIKA TWENTY FOUR 
01-180101-023953_bem_d31_elicit_16  NA ISAAC PA KUBA UMUNTU UWA MUTENDE USHAFWAILE UKWIKALILA MU FIKANSA NO LUBILI AFUMINEKO NO KUYA KUMBI PANTU BALYA BANTU TABALEFWAYO MUTENDE 
01-180101-023953_bem_d31_elicit_17  NA BONSE ABAFWAYO MUTENDE BALAUSANGA BWANGU 
01-180101-023953_bem_d31_elicit_18  ABANTU BAMBI BAPALANA ISHIMELI MUNYINA ISAACI IFYO ALI WA BULWI PE 
01-180101-023953_bem_d31_elicit_19  EFYO NA BAMO BABA MU FILONGANINO NA MU KULONGANA KWESU BANTU BA BULWI
01-180101-023953_bem_d31_elicit_20  LESA APEELA ABANTU BAKWE INCENDE
01-180101-023953_bem_d31_elicit_21  ISAAC AILEIMBA NA CIMBI ICISHIMA ICO AINIKE ATI REHOBOTE EKUTILA ICIFULO ICAISUKA KULI BONSE 
01-180101-023953_bem_d31_elicit_22  MUKWAI UMUNTU UYO LESA ABOMFYA NANGU MWAMUTAMFYA AKAYABOMBA KONSE UKO AKAYA PANTU WA MULIMO KULI LESA 
01-180101-023953_bem_d31_elicit_23  IFYO FINE NA ISAAC TANAKILE UKWIMBE FISHIMA NEFYO BALEMUPOKOLOLA 
01-180101-023953_bem_d31_elicit_24  ASUKILE AIMBA ICISHIMA ICALI NA MENSHI AYENGI ICAKUTI ABANTU BONSE EPO BALENWISHE FITEKWA ELYO NO KUSUMINISHA BONSE UKWIKALA MU NCENDE IYO AILEKO 
