01-200918-113920_bem_d31_elicit_0  KULI YAKOBO 
01-200918-113920_bem_d31_elicit_1  KULI REBEKAH
01-200918-113920_bem_d31_elicit_2  MWILABA UKUTILA NAKULI BAIFWE BENE CILA LUBEMBU MULATUMBUKA IFINTU IFIBI
01-200918-113920_bem_d31_elicit_3  MULANDUNSHI YESU AKOKWELELE UKWISA NANGULA CALI CAKUTI ALITEMENWE MALITA 
01-200918-113920_bem_d31_elicit_4  MARIA ELYO NA LAZARO MULANDUNSHI LESA AKOKWELA LIMO UKWASUKA AMAPEPO YESU
01-200918-113920_bem_d31_elicit_5  FINSHI MWASAMBILILA PALWA KUSHUKUKA NO MWEO
01-200918-113920_bem_d31_elicit_6  NGA AMABUMBA YA BANTU BAPUSANA PUSANA BACITILEPO SHANI PALI ICI CISUNGUSHO CIKALAMBA ICAKWA YESU 
01-200918-113920_bem_d31_elicit_7  BUSHE IFIPESHAMANO IFIPELA UKUSHININKISHA UKUTI ABANTU NABATETEKELA MULI YESU
01-200918-113920_bem_d31_elicit_8  MARIA ACITILE FINSHI YESU KUTI MWAMUCITILA NSHI
01-200918-113920_bem_d31_elicit_9  NGA ABANTU BALYA BALANGISHE SHANI UKUTI BACINDIKE YESU NGE MFUMU 
01-200918-113920_bem_d31_elicit_10  KUTI ABANTU BAMONA SHANI PALI NOMBA UKUTI NI MFUMU YENU
01-200918-113920_bem_d31_elicit_11  MUSANGONSHI IFISABO IFINGI IFYA KWA LESA FINGAFUMINAMO MUBWIKASHI BWESU
01-200918-113920_bem_d31_elicit_12  BWAFYANSHI BANTU ABENGI BAKWETE ABASHATETEKELE MULI YESU
01-200918-113920_bem_d31_elicit_13  MULANDUNSHI YESU ASAMBILE AMAKASA YA BASAMBI BAKWE
01-200918-113920_bem_d31_elicit_14  FINSHI IFYO TULINGILE UKUCITA
01-200918-113920_bem_d31_elicit_15  NIMU MUSANGONSHI ABANTU BAMBI BALINGILE UKWISHIBILA UKUTI TULI BASAMBI BAKWA YESU 
01-200918-113920_bem_d31_elicit_16  TONTONKANYENI PA CINTU CIMO ICO MULEFWAYA UKUCITA ILELO MUKULANGISHA UKUTEMWA KWA BWINA KRISTU KULI UMO
01-200918-113920_bem_d31_elicit_17  NIFINSHI IFYO TOMAS NA PHILIPPUS BASAMBILILE PALI YESU MULI AYA MAVESI
01-200918-113920_bem_d31_elicit_18  KUTI WAISHIBA SHANI NGACAKUTI UMUNTU UMO ALITEMWA LESA BUSHE MWALI MUTEMWA
01-200918-113920_bem_d31_elicit_19  KUTI TWATWALA SHANI IFISABO
01-200918-113920_bem_d31_elicit_20  FINTU NSHI TULECETEKELA KUFUMA KU BANTU ABASHAISHIBA LESA PACIPANDA
01-200918-113920_bem_d31_elicit_21  NI NCITO NSHI MUPASHI WAMUSHILO ABOMBA
01-200918-113920_bem_d31_elicit_22  CIPILIBULA NSHI UKULOMBA MWISHINA LYANDI
01-200918-113920_bem_d31_elicit_23  FINTU NSHI FYALEKANA LEKANA IFYO YESU ATUCITILE
01-200918-113920_bem_d31_elicit_24  FINSHI YESU APEPELEKO ABASAMBI BAKWE
