04-201005-205341_bem_40e_elicit_0  MULENGA AFUMA KWI
04-201005-205341_bem_40e_elicit_1  MULENGA KALE ALI FYE MUNTU PAMO PENE NGA FINO FINE TULI 
04-201005-205341_bem_40e_elicit_2  TWALIKWATA BANYINEFWE NA BASHIFWE TWALIKWATA NA BAMUNYINEFWE NE NKASHI SHESU 
04-201005-205341_bem_40e_elicit_3  NAO WINE BALI IFI FINE
04-201005-205341_bem_40e_elicit_4  NYINABO ALI NI KATAYI UMUKALAMBA WABO IBELI LYABO NI KAOMA 
04-201005-205341_bem_40e_elicit_5  E CALENGELE BENIKE NYINABO KATAYI BATILE NI NAKAOMA 
04-201005-205341_bem_40e_elicit_6  EFYO CABA MU LUBEMBA UMUNTU NGA ABELEKA ISHINA LYAKWE LIBA NGA ILYASHIKAMA MU ISHINA LYA MWANA BALATI SHIMWILA NAMWILA 
04-201005-205341_bem_40e_elicit_7  NAO WINE KATAYI LYALISHIKEME MU LYAKWA KAOMA ALAITWA NAKAOMA 
04-201005-205341_bem_40e_elicit_8  AKONKESHAPO KONKOLA NAO WINE BALEMWITILAKO ABATI NKANKOLA 
04-201005-205341_bem_40e_elicit_9  NKASHI YABO ALI NI MWENYA 
04-201005-205341_bem_40e_elicit_10  LIMOLIMO UYU NYINABO KATAYI ALEITILWA NA KULI MWENYA KWINE BALETI NAMWENYA 
04-201005-205341_bem_40e_elicit_11  MULENGA WENA ALI NI KASULI ECO TETI BETILEKO BATILE NAMULENGA IYOO 
04-201005-205341_bem_40e_elicit_12  PANTU MUNOMWESU MU LUBEMBA CABA KWATI CISHILANO ICAKUKANAITILWA KULI KASULI 
04-201005-205341_bem_40e_elicit_13  BONSE ABA BALIKWETE IMILIMO BALEBOMBA MU LUBEMBA
04-201005-205341_bem_40e_elicit_14  MULENGA ALI NI SHIMAPEPO WA MILUNGU YA LUBEMBA ALEKUULE MFUBA MU FIPOOMA NA MU MPILI SHIMOSHIMO UMWALI NCENGO KWATI FIMAYANDA
04-201005-205341_bem_40e_elicit_15  ALEPEPELA MU FIPOOMA MU KUFWAILA ABANTU BABO UKUTI BALECIMFYA MU BUTA 
04-201005-205341_bem_40e_elicit_16  ALEPEPELA NA MU NCENGO MU KUFWAILA ABANTU UMUTENDE
04-201005-205341_bem_40e_elicit_17  MWENYA BATEMWANENE SANA NA KASULI WABO MULENGA 
04-201005-205341_bem_40e_elicit_18  E CALENGELE NO KUTI ALEMUSENDELA UTUNTU TWAKOCELA LESA WA MILUNGU ALEPEPA 
04-201005-205341_bem_40e_elicit_19  TALEKULA MFUBA IYO ALEOCA FYE IFIITA
04-201005-205341_bem_40e_elicit_20  BAMUNYINA BALYA MUMFWILE NUMBWILE KONKOLA NA KAOMA BENA BALEIPIKA UMWAFI UWAKUPISHAMO ABALECITA IMILANDU 
04-201005-205341_bem_40e_elicit_21  KATAYI NYINABO ICO ASHELE UMUSHIMBE ABANA BACILI ABAICE TAMWENE CIFULO CINECINE 
04-201005-205341_bem_40e_elicit_22  ALETI FYE KULI UYU MWANA AYAIKALAKO PANONO KULI WYU NAKO PANONO
04-201005-205341_bem_40e_elicit_23  NOMBA NATUTALE TULABE KULI BONSE TUKONKE IMILANDU YAKWA MULENGA WA MPANGA EKA
04-201005-205341_bem_40e_elicit_24  NE CALENGA UKUTI TULUMBULE ABA BONSE NI PA KULANGA UKUTI TAFYELWE EKA 
04-201005-205341_bem_40e_elicit_25  WISHI WENA ICO ASHAKWETE MILIMO INEINE IO ALEBOMBA ECO TAKOKWELE KULABWA NECO AFWILE ABANA BACILI ABAICE 
04-201005-205341_bem_40e_elicit_26  KANSHI MULENGA WA MPANGA ALUMBUKILA KU MILIMO UMWINE ABOMBELE IYA BUKAPEPA 
04-201005-205341_bem_40e_elicit_27  ABANTU NABO BALEMWITA MUCINSHIMUCINSHI BALETILA BA MULENGA MUKULU
