01-201012-192322_bem_fb0_elicit_0  AKALWIMBO AKA
01-201012-192322_bem_fb0_elicit_1  PAKUTI BAMAYO BESE
01-201012-192322_bem_fb0_elicit_2  CAFUKULA MALA CAPOSA
01-201012-192322_bem_fb0_elicit_3  CAPOSA NA KU MUTENGO
01-201012-192322_bem_fb0_elicit_4  ABAICE BALITEMWA UKUYA NA BAFYASHI BABO MU MILIMO NO KUBAFWAKO MU MILIMO YONSE IYA MU MPANGA NE YA MU MUSHI 
01-201012-192322_bem_fb0_elicit_5  ABAFYASHI NABO BALAFWAISHA UKUSENDA ABANA BABO MU MILIMO YONSE E PAKUTI BALEBAFUNDA IFYAKUBOMBA NO KUBAKOSHA
01-201012-192322_bem_fb0_elicit_6  PANTU NGA ABAFYASHI BAKOTA NELYO UKUFWA KUTI BASHALA BALEIBOMBELA NO KUILISHA UKWABULA UBULANDA BALECITA FYE NGEFYO BALEMONA KU BAFYASHI BABO
01-201012-192322_bem_fb0_elicit_7  ABANA BANAKASHI BASAMBILILA IFINGI KULI BANYINABO ABAUME NABO KULI BASHIBO 
01-201012-192322_bem_fb0_elicit_8  KWALIBA NE MILIMO IMBI IYO ABANA BASAMBILILA KULI BASHIBO NA BANYINABO 
01-201012-192322_bem_fb0_elicit_9  PANTU ABAFYASHI BONSE BABILI E BALI NO KUMONA IFYO UMWANA ONSE AKABA MU KUKULA KWAKWE 
01-201012-192322_bem_fb0_elicit_10  NGA AKAPALA KULI WISHI ATEMWA KULI NYINA MU MIBOMBELE MU MISOSELE NA MU MIKALILE 
01-201012-192322_bem_fb0_elicit_11  NI CIMUMBWA PALA NOKO PALA WISO UKUWAMA
01-201012-192322_bem_fb0_elicit_12  INSHITA YONSE ABAFYASHI BALI NO KUYA MU MPANGA BALAKUNGUBA ABANA BONSE BASHAKO BAMO ABAKUCITA UTULIMO TWA MU MUSHI 
01-201012-192322_bem_fb0_elicit_13  ABALUMENDO BAYA NA BASHIBO KU KUTEMA ATEMWA KU KUPINDILA NABO KUTI BALEBOMBA BUCEBUCE UKULINGANA NA MAKA YABO 
01-201012-192322_bem_fb0_elicit_14  NGA BANAKA KUTI BALATUUSHA BALACITA TUMBI UTWA PA BWIKELE 
01-201012-192322_bem_fb0_elicit_15  LIMOLIMO BALEPALAMIKA AMENSHI KU BAFYASHI BABO 
01-201012-192322_bem_fb0_elicit_16  LIMO BABEBA UKUFUNDA ULUSHISHI ATEMWA UKUTEETA UTUMUTI UTWAKUYABOMFYA KU MUSHI NGA BAINUKA
01-201012-192322_bem_fb0_elicit_17  NGA NI PA KUTEMA KUTI ABAICE BAYA BALEKOLA IMPEMBYA NGA NI PA KUPINDILA KUTI BAYA BALEPANDA IFISHOLOLO IFYAKUYATOBELAKO UBWALI KU MUSHI
01-201012-192322_bem_fb0_elicit_18  ABALUMENDO IFYAKUCITA FYALIFULA BANA BA MFUBU BANGALA MATENGA YONSE
01-201012-192322_bem_fb0_elicit_19  LIMBI KUTI BAFUMA APO ABAKALAMBA BALEBOMBA BAYA BALALISHA IMPULU MU MUTENGO INUNI NGA YAISA BAIKONKA BAISA NABAPANDA NO BUCI
01-201012-192322_bem_fb0_elicit_20  MULI IFI FYONSE ABAFYASHI BABO BALATEMWA NGANSHI PANTU BALAMONA UTWINGI UTO BASHINGAMONA NGA BALI BEKA
01-201012-192322_bem_fb0_elicit_21  ABAKASHANA NABO BAKONKA BANYINABO KU MILIMO YABO IYA KUKULA IFIBUULA KU KUTOLE MILANDO KU KUSEPA NELYO KU KUFUKA IMBALALA 
01-201012-192322_bem_fb0_elicit_22  NABO UKO KWINE BALABOMBAKO TUMO UKULINGANA NA MAKA YABO 
01-201012-192322_bem_fb0_elicit_23  NGA NI KU MBALALA KWENA KUTI BALI ABACINCILA BALEISUSHA NO TUSEKE TWABO BASENDELE ELYO BALEFUKUMWINA MU MISEKE IKALAMBA 
01-201012-192322_bem_fb0_elicit_24  ALA NO MUKALAMBA APUBA TETI AFIKEKO
01-201012-192322_bem_fb0_elicit_25  KUMFWA NGA BANAKA KU MILIMO ILECITA ABAKALAMBA KUTI BALEKA BAYA MU KUTUUSHA MU FINTELELWE 
01-201012-192322_bem_fb0_elicit_26  NOMBA NGA CAKUTI NO TWANA TUNONO EPO TULI BAYA MU KUTULELA BATUTALUSHA PALI BANYINABO PAKUTI TATULELILA NGA TWAMONA ABAFYASHI BABO MUPEPI
01-201012-192322_bem_fb0_elicit_27  PA LWAKULELA ABANA TAPALINGILE KULEKA FYE KANO TUSOSEPO UTUMASHIWI TUMOTUMO PANTU PALI UYU MULIMO ABAICE BALAIPAKISHA SANA PANTU KULABA AMALILA AYENGI
01-201012-192322_bem_fb0_elicit_28  IFILYO IFINGI IFYO BASENDA IFYAKUTALALIKILA ABANA 
01-201012-192322_bem_fb0_elicit_29  IFILI NGE MBALALA IFYUMBU INTOYO KALUNDWE INYANJE NE FIPUSHI NABO BALI NO KUFILYAKO ILYO BALEPEELA ABANA BALELELA PANTU E BALESHI 
01-201012-192322_bem_fb0_elicit_30  ABALESHI BATEMWA UKWIKALA MU FINTELELWE BAYANSHIKA NE MPAPA ATEMWA BAFIMBANA BALEBUTA NE FILYO IFYO BABAPELE IFYAKUTALALIKILA ABANA NGA BALILA
01-201012-192322_bem_fb0_elicit_31  NOMBA UMWANA UMO NGA NI CILILALILA ATENDEKA UKULILA KUTI UULEMULELA AMUPAAPA ALAMUSUNSUNTILA PAKUTI ATALALE ASENDAME 
01-201012-192322_bem_fb0_elicit_32  LELO NGA ATWALILILA UKULILA KUTI AMUTWALA KULI BANYINA KU KUMONSHA
01-201012-192322_bem_fb0_elicit_33  INSHITA YONSE UMWANA NGA ATENDEKA UKULILA UMULESHI WAKWE PA KUMUSUNSUNTILA KUTI ALEIMBA NA KALWIMBO AKO ATEMENWE
01-201012-192322_bem_fb0_elicit_34  AKALWIMBO ABENGI BATEMWISHA UKWIMBA E AKA
01-201012-192322_bem_fb0_elicit_35  MAYO WE SOMONE MWANA
01-201012-192322_bem_fb0_elicit_36  ALILA ATI BAMPAPE
01-201012-192322_bem_fb0_elicit_37  MU MPAPA YANDI YALUKA WISHI
01-201012-192322_bem_fb0_elicit_38  WISHI NSHI TATA SHIBWALYA
01-201012-192322_bem_fb0_elicit_39  TAISHIBA KULUKA CILUKA BASUNGU
01-201012-192322_bem_fb0_elicit_40  UMWANA NGA ATALALA ASENDAMA NO KUSENDAMA KUTI ALEKA UKWIMBA KUMFWA NGA APITILISHA ALI NO KUMUTWALA KULI BANYINA KU KUMONSHA
01-201012-192322_bem_fb0_elicit_41  MU BALESHI BENE MWABA BAMO IMBULWA MAKA BAMANTEMBENTEMBE ABATOMPONTEKA ABABULA UBUFYOMPO MU MAFUPA 
01-201012-192322_bem_fb0_elicit_42  NGA CAKUTI UWA MUSANGO UYO PA MULANDU WA BUPO BWAKWE APONYA UMWANA PANSHI UO ALELELA 
