01-180101-031630_bem_d31_elicit_0  MUKWIPIFYA UBWELELO KULEKELELWA NANGU LUSE LUNTU UMUNTU UULUFYENYE APOKELELA PANUMA YA KUPAPATA 
01-180101-031630_bem_d31_elicit_1  UKUBELELWA KWA LUSE KUSHINTILILA PAMUSANGO WA CILUBO UMUNTU ACITILE PAMO NO MUSANGO AISHILAMO PAKUPAPATA
01-180101-031630_bem_d31_elicit_2  MU CIPINGO CA KALE KASESEMA DANIELE ALILONDOLOLA PAMULANDU WA LUKO ULWABEMBWIKE KULI LESA ILI LYASHI LYALEMBWA MULI DANIELE NINE VERSE ONE TO NINETEEN
01-180101-031630_bem_d31_elicit_3  ITUNTUKO LYA BWELELO
01-180101-031630_bem_d31_elicit_4  MULI DANIELE NINE VERSE NINE KASESEMA ALONDOLOLO KUTI SHIKULU LESA WESU ABA NE NKUMBU NO KUBELELO LUSE ULWINGI  
01-180101-031630_bem_d31_elicit_5  ICI CALOLA MUKUTI LESA MUKULU UWA MAKA YONSE ENA EKA FYE ETUNTUKO LYA BWELELO
01-180101-031630_bem_d31_elicit_6  EMULANDU WINE UMUNTUNSE TEKUTI ELELE UMUNANKWE MU CISHINKA UKWABULO KUTUNGULULWA NA LESA 
01-180101-031630_bem_d31_elicit_7  UBWELELO BWAKWA LESA BWALIIBELA KABILI BWABA UBWAKUPAPA 
01-180101-031630_bem_d31_elicit_8  LESA TAPELELA FYE PAKWELELO MUNTU LELO ALASULAKO KU CILUBO 
01-180101-031630_bem_d31_elicit_9  IFILANGILILO NI FI
01-180101-031630_bem_d31_elicit_10  LESA ALILANGULWIKE KABILI ALI NO MUTIMA WA KWELELA ILINTU ALEKELE ADAMU NA EFA UKUTWALILILA UKUBA ABOMI PANUMA YAKUBEMBUKA MWI BALA LYA EDENI 
01-180101-031630_bem_d31_elicit_11  ABAPEKANISHE NSHILA YAKUBABWESESHA KU MWINE 
01-180101-031630_bem_d31_elicit_12  INSHILA IYI YALEISHILA MU BULAYO PAMO NA MUKUFIKILISHA UKWISA KWA MULUBUSHI ELYO NO BWELELO BWA MULUBUSHI PALYA PA KALUBALE
01-180101-031630_bem_d31_elicit_13  LESA ALILANGULWIKE KABILI ALYELELE ADAMU NELYO MUKWASUKA KWAKWE TAMWALI MUCINSHI 
01-180101-031630_bem_d31_elicit_14  MU CIFULO CAKUTI LESA AMUPANIKE NELYO KUMULOFYA AMUPEKANISHE PAMO NO MUKASHI WAKWE IFYAKUFWALA NO KUPELELA FYE PAKUBAFUMYA MWI BALA 
01-180101-031630_bem_d31_elicit_15  MUFILANGILILO FYONSE FIBILI LESA ALELANGILILO KUTI UBWELELO MUSANGO UNTU UMUNTU ENGACITA KU MUNANKWE UKWABULO KUCITAPO ICINTU CIMBI UKUCILA PAKUPAPATA
01-180101-031630_bem_d31_elicit_16  DANIELE KASESEMA ATWALILILO KUSAMBILISHO KUTI APALI ULUBEMBU PALAFWAIKWA KUPAPATA KULI LESA 
01-180101-031630_bem_d31_elicit_17  KABILI ATUPELE CAKUMWENAKO ILINTU APEPELE ABENA ISREALE ABABEMBWIKE KULI LESA 
01-180101-031630_bem_d31_elicit_18  APEPELE ATI EICO NALOSESHE CINSO CANDI KULI SHIKULU LESA KUKUFWAILA MWI PEPO NA MU KUPAPATA NDI MU KULEKO KULYA NA MU LUSAMU NE MITO 
01-180101-031630_bem_d31_elicit_19  NAPEPELE KULI YEHOBA LESA WANDI NATOTELE NO KUTILA MWE SHIKULU LESA MUKULU KABILI UWAKUTINYA 
01-180101-031630_bem_d31_elicit_20  NANI ENGELELA NELYO UKWELELWA
01-180101-031630_bem_d31_elicit_21  PAKATI KA BENA KRISTU NELYO INKUTA PALASANGWA UKUTALIKANA UKUPUSANA UKUKANSANA UBUFI ILYASHI LIBI AKALUMWA PAMO NO BUBIFI BUMBI UBWINGI 
01-180101-031630_bem_d31_elicit_22  IFI FILALENGA BENA KRISTU NELYO INKUTA UKUKANAKWATA UBUFI BWINE BWINE 
01-180101-031630_bem_d31_elicit_23  ABENA KRISTU NELYO INKUTA TEKUTI BEMININE MULI BUMUSHILO 
01-180101-031630_bem_d31_elicit_24  PAMULANDU WAKUTI UBUMI BWINE BWINE BULAFWAIKWA MU LUKUTA AMALEMBO YALAKONKOMESHO KUTI MWE BANA BAKWA LESA 
01-180101-031630_bem_d31_elicit_25  MUBELANE CONGWE MUBE ABAMITIMA YA NKUMBU ABABELELANO LUSE IFYO NA LESA AMIBELELE ULUSE MULI KRISTU
01-180101-031630_bem_d31_elicit_26  ABENA EFESE FOUR THIRTY TWO PAKABALA NTANSHI UBWELELO BWALI BWAKWA LESA
01-180101-031630_bem_d31_elicit_27  PAMULANDU WAKUTI UMUNTU ALENGELWE MU CATA CAKWA LESA NAO NAKONKOMESHIWA
01-180101-031630_bem_d31_elicit_28  UKULANGA BU LESA MULI CONSE ICO ALECITA CIBE KULYA NELYO KUMWA ALINGILE UKULETO BUKATA KULI KABUMBA 
01-180101-031630_bem_d31_elicit_29  SHIKULU YESU KRISTU ILINTU ALESAMBILISHA TAPELELE FYE PAKUTILA TULETEMWA BENA MUPALAMANO BESU LELO AKONKENYEPO KUTILA TULETEMWA NA BALWANI BESU PAMO 
01-180101-031630_bem_d31_elicit_30  MU KUSAMBILISHA ATWALILILE UKUTILA TULEPALA NA BALYA BANTU ABATUTIPA 
01-180101-031630_bem_d31_elicit_31  NAKUBA NGA CAKUTI TWACITA IFI FYONSE NINSHI TULEIKALILA MU CATA CA BU LESA UULOKESHA IMFULA NA PA BABIFI PAMO
01-180101-031630_bem_d31_elicit_32  ABENA KRISTU BONSE BALINGO KUTONTONKANYA PA FINTU IFYACISHINKA IFYA CINE IFISUMA IFYASANGULUKA IFYAYEMBA KABILI IFYAYANA 
01-180101-031630_bem_d31_elicit_33  PAKUTI BABE MULI UYU MUSANGO WA BULESA BALINGILE UKUBA NO MUTENDE NA BANTU BONSE 
01-180101-031630_bem_d31_elicit_34  PAMULANDU WAKUTI ULUKUTA ULULI LONSE LULINGILE UKUBAMO ABENA KRISTU ABAKWATA IMITIMA YAKWELELA NE NKUTA SHONSE KUTI SHAIMININA MU MUSHILO 
01-180101-031630_bem_d31_elicit_35  NGA CAKUTI KRISTU UMUTWE WA LUKUTA ALISULAMO NO BWELELO KU BANTU BONSE NIFWE BANI PAKUTI TUKANE UKUKWATA UBWELELO KULI UMO NO MUNANKWE 
01-180101-031630_bem_d31_elicit_36  MU NSHILA IMO INE PALINGILE UKUBA UBWELELO PA LUKUTA LUMO NO LUBIYE 
01-180101-031630_bem_d31_elicit_37  UBWELELO BULABWESHA UMUMFWANO PAKATI KA BANTU BAMO NA PAKATI KA MABUMBA YA BANTU
01-180101-031630_bem_d31_elicit_38  BUSHE NGA CAKUTI PA LUKUTA PABA ULUBEMBU KUCITA SHANI
01-180101-031630_bem_d31_elicit_39  INSHILA SHIMO ISHAKUCIMFISHAMO ULUBEMBU PA LUKUTA NISHI
01-180101-031630_bem_d31_elicit_40  PITULUKENI NANGU FWAILISHENI IFYO ULU LUBEMBU LWAISA 
01-180101-031630_bem_d31_elicit_41  TONTONKANYENI PAMULANDU WA BWAFYA UBO ULUBEMBU LWINGALETA PA BUMI BWA NKUTA
01-180101-031630_bem_d31_elicit_42  MWILABA UKUTI ULU LUBEMBU KUTI LWABA MATUKUTUKU YAKWA KASEBANYA KUKUFWAYO KONAULA UBUMI BWA LUKUTA
01-180101-031630_bem_d31_elicit_43  EICO IBUKISHENI UKUBIKA MASAKAMIKO YENU YONSE PALI WENE PANTU ASAKAMANA IMWE
01-180101-031630_bem_d31_elicit_44  FWAILISHENI MU MALEMBO APALELANDA PALI UBO BWAFYA BWA BWIKALO MWASANGWAMO
01-180101-031630_bem_d31_elicit_45  MWISHILA KASEBANYA INCENDE APAKUCIMFISHA ABENA EFESE FOUR VERSE TWENTY SEVEN
01-180101-031630_bem_d31_elicit_46  PAMO NGE NTUNGULUSHI MULEYANGWA MWE BENE NO MUKUNI ONSE  ULO ANONKELE MU MULOPAWAKWE WINE
01-180101-031630_bem_d31_elicit_47  IFI EFINTU FIMO IFISANGWA MU KUKWATO MUTIMA WA BWELELO
01-180101-031630_bem_d31_elicit_48  UKUTEMWA UMUNTU UWAELELWA ALATEMWA UWAMWELELA NELYO CINGABA PANSHITA 
01-180101-031630_bem_d31_elicit_49  KUMFWA NGA CAKUTI KULYA UKUTEMWA KWA NSHITA IINONO KWATUNGILILWA KUTI KWATWALILILA
