12-201009-111159_bem_526_elicit_0  ABAPATILI BABWEKELAMO AMACUSHI YALANANGULUSHA
12-201009-111159_bem_526_elicit_1  IYEE ALA NGA NI KU MUSHI KUMWESU KUTI WAUMFWA ABATI BANAKULU MWANSA SHISENI MUMONE BALYA BAISA 
12-201009-111159_bem_526_elicit_2  IYO MWANDI NICO IFYAKUSHIMIKILWA FYANGUKA 
12-201009-111159_bem_526_elicit_3  ILYO TWAPOLOLOKELA MULI UYU MUSUMBA KUTI NA KA KU IBELE KESHILE KUMO KU KUTAMBA 
12-201009-111159_bem_526_elicit_4  TWAYAIMIKA NA MOTOKA WESU PA NG'ANDA YE SUKULU TWALAFUMYA NO TUPE TWESU BUKALI BUKALI 
12-201009-111159_bem_526_elicit_5  NINSHI ILYO NIMFWALA KAKAPUTULA AKABUTA NA TUPATUFU KU MAKASA NE MIFUKO IYAFITULUKILA 
12-201009-111159_bem_526_elicit_6  KUTI NA BANTU BAISHIBA  FYE UKUTI AKA KENA E KAKAFUNDISHA BALETAKO MWANDI
12-201009-111159_bem_526_elicit_7  CILYA TWAPWISHA UKUFUFYA IFIPE NALAIPUSHA UMUPATILI NATI 
12-201009-111159_bem_526_elicit_8  BUSHE ISUKULU LILI KWI 
12-201009-111159_bem_526_elicit_9  NAMONA ASONTA MU ISAMBA LYA MUTI 
12-201009-111159_bem_526_elicit_10  ALA NAPAPILE NGANSHI KWENA NASUULA NATI UKUFUNDA TE MULANDU NA PANSE PENE BALAFUNDA KULILA TULETWALA ICALO PANTANSHI
12-201009-111159_bem_526_elicit_11  PA KUSANGA TWAPWILILE INSHITA MU NSHILA NAUMFWA ABAPATILI ABATI 
12-201009-111159_bem_526_elicit_12  NOMBA IFWE TWABWELELAMO PANTU NGA TWACELWA UKUFIKA UBUSHIKU TWALAILE KUTI BASAKAMANA ABATI PA ICILIKO 
12-201009-111159_bem_526_elicit_13  ILYO NINSHI UTUNKOLONKOLO TONSE UTWE SUKULU NABATUPELA PAMO NE NSA IYAKUMONAPO AKASUBA 
12-201009-111159_bem_526_elicit_14  KUTI NGA PALYA NTAMPILE UKULANDA NABANINA NA MULI MOTOKA NO KUYA BALAYA 
12-201009-111159_bem_526_elicit_15  INSHITA INONO TWALASONTA MU FISHILWA MOTOKAASHILE ALEMBA NOMO BELE MWALEMBA NO TUNI
12-201009-111159_bem_526_elicit_16  UBUSHIKU ABAPATILI BAILE TATWAFUNDISHE IYO 
12-201009-111159_bem_526_elicit_17  TWALEWAMYA FYE MU KAPOMPA KESU NO KUSEBA MU ISAMBA LYA CIMUTI MWINE UMO BALETI E MWISUKULU 
12-201009-111159_bem_526_elicit_18  TWAKUNGWILEPO NGA APALEFIKILA UMUSUNGU WA MUSONKO TWAIMIKA NE NYENJELE YA CIKOPO IYO ABAPATILI BATUSHILILE 
12-201009-111159_bem_526_elicit_19  CILYA CABA ICUNGULO TWAPWA NO KUTABIKA AKABWALI KANANG'ANA BANAILE KULI KUKI WESU AWE TWALAPEKANYA IFYAKUFUNDA ULUCELELO 
12-201009-111159_bem_526_elicit_20  NINE WINE NALI KAFUNDISHA MUKALAMBA 
12-201009-111159_bem_526_elicit_21  ICO INE NSHAISHIBE LULIMI LWA KULYA KUNTU NAEBA UMUNANDI UWAISHIBE ULULIMI UKULAFUNDA UTWAICE TULYA TULETAMPA ISUKULU
12-201009-111159_bem_526_elicit_22  MU KAYANDA KALYA TATWAMWENE TULO KU MULANDU WA TUMUNWINWI NASUKA INE NAIKALA FYE
12-201009-111159_bem_526_elicit_23  NA SANDA IYO IYABULA UKUMASWA ALA TWALOLELE BUSHIKU BONSE 
12-201009-111159_bem_526_elicit_24  NJISE NSHIBUKE NASANGA NA MENSHI NAYAPYA AWE NAPALAMPANSHA NA KU MENSO 
